tablet_type	attribute_code	coverage	ui_surface	notes_ru
TABLET	tablet_type	required	primary	
TABLET	brand	required	primary	
TABLET	condition	required	primary	
TABLET	model_name_text	strongly_recommended	expanded	
TABLET	screen_size_in	required	primary	
TABLET	storage_capacity_gb	strongly_recommended	primary	
TABLET	connectivity	optional	expanded	
TABLET	os	optional	expanded	
TABLET	display_technology	optional	expanded	
TABLET	stylus_support	optional	expanded	
TABLET	stylus_included	optional	expanded	
TABLET	keyboard_support	optional	expanded	
TABLET	battery_health_percent	optional	expanded	
TABLET	compatibility_os	optional	expanded	
TABLET	compatible_model_text	optional	expanded	
TABLET	connector_type	optional	expanded	
TABLET	material	optional	expanded	
TABLET	price	optional	primary	
KIDS_TABLET	tablet_type	required	primary	
KIDS_TABLET	brand	required	primary	
KIDS_TABLET	condition	required	primary	
KIDS_TABLET	model_name_text	strongly_recommended	expanded	
KIDS_TABLET	screen_size_in	required	primary	
KIDS_TABLET	storage_capacity_gb	strongly_recommended	primary	
KIDS_TABLET	connectivity	optional	expanded	
KIDS_TABLET	os	optional	expanded	
KIDS_TABLET	display_technology	optional	expanded	
KIDS_TABLET	stylus_support	optional	expanded	
KIDS_TABLET	stylus_included	optional	expanded	
KIDS_TABLET	keyboard_support	optional	expanded	
KIDS_TABLET	battery_health_percent	optional	expanded	
KIDS_TABLET	compatibility_os	optional	expanded	
KIDS_TABLET	compatible_model_text	optional	expanded	
KIDS_TABLET	connector_type	optional	expanded	
KIDS_TABLET	material	optional	expanded	
KIDS_TABLET	price	optional	primary	
E_READER	tablet_type	required	primary	
E_READER	brand	required	primary	
E_READER	condition	required	primary	
E_READER	model_name_text	strongly_recommended	expanded	
E_READER	screen_size_in	required	primary	
E_READER	storage_capacity_gb	strongly_recommended	primary	
E_READER	connectivity	optional	expanded	
E_READER	os	optional	expanded	
E_READER	display_technology	optional	expanded	
E_READER	stylus_support	optional	expanded	
E_READER	stylus_included	optional	expanded	
E_READER	keyboard_support	optional	expanded	
E_READER	battery_health_percent	optional	expanded	
E_READER	compatibility_os	optional	expanded	
E_READER	compatible_model_text	optional	expanded	
E_READER	connector_type	optional	expanded	
E_READER	material	optional	expanded	
E_READER	price	optional	primary	
GRAPHICS_TABLET	tablet_type	required	primary	
GRAPHICS_TABLET	brand	required	primary	
GRAPHICS_TABLET	condition	required	primary	
GRAPHICS_TABLET	model_name_text	strongly_recommended	expanded	
GRAPHICS_TABLET	screen_size_in	required	primary	
GRAPHICS_TABLET	storage_capacity_gb	optional	primary	
GRAPHICS_TABLET	connectivity	optional	expanded	
GRAPHICS_TABLET	os	optional	expanded	
GRAPHICS_TABLET	display_technology	optional	expanded	
GRAPHICS_TABLET	stylus_support	optional	expanded	
GRAPHICS_TABLET	stylus_included	strongly_recommended	expanded	
GRAPHICS_TABLET	keyboard_support	optional	expanded	
GRAPHICS_TABLET	battery_health_percent	optional	expanded	
GRAPHICS_TABLET	compatibility_os	strongly_recommended	expanded	
GRAPHICS_TABLET	compatible_model_text	optional	expanded	
GRAPHICS_TABLET	connector_type	optional	expanded	
GRAPHICS_TABLET	material	optional	expanded	
GRAPHICS_TABLET	price	optional	primary	
TABLET_DOCK	tablet_type	required	primary	
TABLET_DOCK	brand	required	primary	
TABLET_DOCK	condition	required	primary	
TABLET_DOCK	model_name_text	strongly_recommended	expanded	
TABLET_DOCK	screen_size_in	optional	primary	
TABLET_DOCK	storage_capacity_gb	optional	primary	
TABLET_DOCK	connectivity	optional	expanded	
TABLET_DOCK	os	optional	expanded	
TABLET_DOCK	display_technology	optional	expanded	
TABLET_DOCK	stylus_support	optional	expanded	
TABLET_DOCK	stylus_included	optional	expanded	
TABLET_DOCK	keyboard_support	optional	expanded	
TABLET_DOCK	battery_health_percent	optional	expanded	
TABLET_DOCK	compatibility_os	optional	expanded	
TABLET_DOCK	compatible_model_text	required	expanded	
TABLET_DOCK	connector_type	strongly_recommended	expanded	
TABLET_DOCK	material	optional	expanded	
TABLET_DOCK	price	optional	primary	
TABLET_STAND	tablet_type	required	primary	
TABLET_STAND	brand	required	primary	
TABLET_STAND	condition	required	primary	
TABLET_STAND	model_name_text	strongly_recommended	expanded	
TABLET_STAND	screen_size_in	optional	primary	
TABLET_STAND	storage_capacity_gb	optional	primary	
TABLET_STAND	connectivity	optional	expanded	
TABLET_STAND	os	optional	expanded	
TABLET_STAND	display_technology	optional	expanded	
TABLET_STAND	stylus_support	optional	expanded	
TABLET_STAND	stylus_included	optional	expanded	
TABLET_STAND	keyboard_support	optional	expanded	
TABLET_STAND	battery_health_percent	optional	expanded	
TABLET_STAND	compatibility_os	optional	expanded	
TABLET_STAND	compatible_model_text	required	expanded	
TABLET_STAND	connector_type	optional	expanded	
TABLET_STAND	material	strongly_recommended	expanded	
TABLET_STAND	price	optional	primary	
