model	alias	locale	source	status
iPad Pro 13	ipad pro 13	en	manual_head_seed	active
iPad Pro 13	айпад pro 13	ru	manual_head_seed	active
iPad Pro 13	ipad pro 13	ru	manual_head_seed	active
iPad Pro 11	ipad pro 11	en	manual_head_seed	active
iPad Pro 11	айпад pro 11	ru	manual_head_seed	active
iPad Pro 11	ipad pro 11	ru	manual_head_seed	active
iPad Air 13	ipad air 13	en	manual_head_seed	active
iPad Air 13	айпад air 13	ru	manual_head_seed	active
iPad Air 13	ipad air 13	ru	manual_head_seed	active
iPad Air 11	ipad air 11	en	manual_head_seed	active
iPad Air 11	айпад air 11	ru	manual_head_seed	active
iPad Air 11	ipad air 11	ru	manual_head_seed	active
iPad 10th generation	ipad 10th generation	en	manual_head_seed	active
iPad 10th generation	айпад 10th generation	ru	manual_head_seed	active
iPad 10th generation	ipad 10th generation	ru	manual_head_seed	active
iPad 9th generation	ipad 9th generation	en	manual_head_seed	active
iPad 9th generation	айпад 9th generation	ru	manual_head_seed	active
iPad 9th generation	ipad 9th generation	ru	manual_head_seed	active
iPad mini	ipad mini	en	manual_head_seed	active
iPad mini	айпад mini	ru	manual_head_seed	active
iPad mini	ipad mini	ru	manual_head_seed	active
Galaxy Tab S10 Ultra	galaxy tab s10 ultra	en	manual_head_seed	active
Galaxy Tab S10 Ultra	галакси таб s10 ultra	ru	manual_head_seed	active
Galaxy Tab S10 Ultra	самсунг таб s10 ultra	ru	manual_head_seed	active
Galaxy Tab S10 Plus	galaxy tab s10 plus	en	manual_head_seed	active
Galaxy Tab S10 Plus	галакси таб s10 plus	ru	manual_head_seed	active
Galaxy Tab S10 Plus	самсунг таб s10 plus	ru	manual_head_seed	active
Galaxy Tab S9 Ultra	galaxy tab s9 ultra	en	manual_head_seed	active
Galaxy Tab S9 Ultra	галакси таб s9 ultra	ru	manual_head_seed	active
Galaxy Tab S9 Ultra	самсунг таб s9 ultra	ru	manual_head_seed	active
Galaxy Tab S9	galaxy tab s9	en	manual_head_seed	active
Galaxy Tab S9	галакси таб s9	ru	manual_head_seed	active
Galaxy Tab S9	самсунг таб s9	ru	manual_head_seed	active
Galaxy Tab S9 FE	galaxy tab s9 fe	en	manual_head_seed	active
Galaxy Tab S9 FE	галакси таб s9 fe	ru	manual_head_seed	active
Galaxy Tab S9 FE	самсунг таб s9 fe	ru	manual_head_seed	active
Galaxy Tab A9 Plus	galaxy tab a9 plus	en	manual_head_seed	active
Galaxy Tab A9 Plus	галакси таб a9 plus	ru	manual_head_seed	active
Galaxy Tab A9 Plus	самсунг таб a9 plus	ru	manual_head_seed	active
Galaxy Tab A9	galaxy tab a9	en	manual_head_seed	active
Galaxy Tab A9	галакси таб a9	ru	manual_head_seed	active
Galaxy Tab A9	самсунг таб a9	ru	manual_head_seed	active
Galaxy Tab Active5	galaxy tab active5	en	manual_head_seed	active
Galaxy Tab Active5	галакси таб active5	ru	manual_head_seed	active
Galaxy Tab Active5	самсунг таб active5	ru	manual_head_seed	active
Lenovo Tab M11	lenovo tab m11	en	manual_head_seed	active
Lenovo Tab P12	lenovo tab p12	en	manual_head_seed	active
Lenovo Tab Plus	lenovo tab plus	en	manual_head_seed	active
Lenovo Yoga Tab	lenovo yoga tab	en	manual_head_seed	active
Lenovo Legion Tab	lenovo legion tab	en	manual_head_seed	active
Lenovo Tab M10	lenovo tab m10	en	manual_head_seed	active
Xiaomi Pad 6	xiaomi pad 6	en	manual_head_seed	active
Xiaomi Pad 6S Pro	xiaomi pad 6s pro	en	manual_head_seed	active
Redmi Pad Pro	redmi pad pro	en	manual_head_seed	active
Redmi Pad SE	redmi pad se	en	manual_head_seed	active
POCO Pad	poco pad	en	manual_head_seed	active
Huawei MatePad 11.5	huawei matepad 11.5	en	manual_head_seed	active
Huawei MatePad Pro	huawei matepad pro	en	manual_head_seed	active
Huawei MatePad SE	huawei matepad se	en	manual_head_seed	active
Honor Pad 9	honor pad 9	en	manual_head_seed	active
Honor Pad X9	honor pad x9	en	manual_head_seed	active
Microsoft Surface Pro	microsoft surface pro	en	manual_head_seed	active
Microsoft Surface Go	microsoft surface go	en	manual_head_seed	active
ASUS Vivobook Slate	asus vivobook slate	en	manual_head_seed	active
Nokia T21	nokia t21	en	manual_head_seed	active
TCL Tab 10	tcl tab 10	en	manual_head_seed	active
Realme Pad	realme pad	en	manual_head_seed	active
OPPO Pad Air	oppo pad air	en	manual_head_seed	active
Blackview Tab	blackview tab	en	manual_head_seed	active
Doogee T30	doogee t30	en	manual_head_seed	active
Teclast T50	teclast t50	en	manual_head_seed	active
Chuwi HiPad	chuwi hipad	en	manual_head_seed	active
Chuwi HiPad	chuwi hайпад	ru	manual_head_seed	active
Chuwi HiPad	chuwi hipad	ru	manual_head_seed	active
Amazon Fire HD 10 Kids	amazon fire hd 10 kids	en	manual_head_seed	active
Amazon Fire 7 Kids	amazon fire 7 kids	en	manual_head_seed	active
Samsung Galaxy Tab A Kids	samsung galaxy tab a kids	en	manual_head_seed	active
Samsung Galaxy Tab A Kids	samsung галакси таб a kids	ru	manual_head_seed	active
Samsung Galaxy Tab A Kids	samsung самсунг таб a kids	ru	manual_head_seed	active
Lenovo Tab M10 Kids	lenovo tab m10 kids	en	manual_head_seed	active
Kindle Paperwhite	kindle paperwhite	en	manual_head_seed	active
Kindle Paperwhite	киндл paperwhite	ru	manual_head_seed	active
Kindle Paperwhite	электронная книга kindle paperwhite	ru	manual_head_seed	active
Kindle Scribe	kindle scribe	en	manual_head_seed	active
Kindle Scribe	киндл scribe	ru	manual_head_seed	active
Kindle Scribe	электронная книга kindle scribe	ru	manual_head_seed	active
Kindle Oasis	kindle oasis	en	manual_head_seed	active
Kindle Oasis	киндл oasis	ru	manual_head_seed	active
Kindle Oasis	электронная книга kindle oasis	ru	manual_head_seed	active
Kindle Basic	kindle basic	en	manual_head_seed	active
Kindle Basic	киндл basic	ru	manual_head_seed	active
Kindle Basic	электронная книга kindle basic	ru	manual_head_seed	active
Kobo Clara	kobo clara	en	manual_head_seed	active
Kobo Clara	кобо clara	ru	manual_head_seed	active
Kobo Libra	kobo libra	en	manual_head_seed	active
Kobo Libra	кобо libra	ru	manual_head_seed	active
Kobo Sage	kobo sage	en	manual_head_seed	active
Kobo Sage	кобо sage	ru	manual_head_seed	active
PocketBook Verse	pocketbook verse	en	manual_head_seed	active
PocketBook Verse	покетбук verse	ru	manual_head_seed	active
PocketBook InkPad	pocketbook inkpad	en	manual_head_seed	active
PocketBook InkPad	покетбук inkpad	ru	manual_head_seed	active
Onyx Boox Note Air	onyx boox note air	en	manual_head_seed	active
Onyx Boox Tab Ultra	onyx boox tab ultra	en	manual_head_seed	active
reMarkable 2	remarkable 2	en	manual_head_seed	active
Wacom Intuos	wacom intuos	en	manual_head_seed	active
Wacom Intuos	ваком intuos	ru	manual_head_seed	active
Wacom One	wacom one	en	manual_head_seed	active
Wacom One	ваком one	ru	manual_head_seed	active
Wacom Cintiq 16	wacom cintiq 16	en	manual_head_seed	active
Wacom Cintiq 16	ваком cintiq 16	ru	manual_head_seed	active
Wacom Cintiq Pro	wacom cintiq pro	en	manual_head_seed	active
Wacom Cintiq Pro	ваком cintiq pro	ru	manual_head_seed	active
Huion Kamvas 13	huion kamvas 13	en	manual_head_seed	active
Huion Kamvas 13	хуион kamvas 13	ru	manual_head_seed	active
Huion Kamvas 16	huion kamvas 16	en	manual_head_seed	active
Huion Kamvas 16	хуион kamvas 16	ru	manual_head_seed	active
Huion Inspiroy	huion inspiroy	en	manual_head_seed	active
Huion Inspiroy	хуион inspiroy	ru	manual_head_seed	active
XP-Pen Deco	xp-pen deco	en	manual_head_seed	active
XP-Pen Deco	икс пи пен deco	ru	manual_head_seed	active
XP-Pen Artist 12	xp-pen artist 12	en	manual_head_seed	active
XP-Pen Artist 12	икс пи пен artist 12	ru	manual_head_seed	active
XP-Pen Artist 16	xp-pen artist 16	en	manual_head_seed	active
XP-Pen Artist 16	икс пи пен artist 16	ru	manual_head_seed	active
Gaomon PD1161	gaomon pd1161	en	manual_head_seed	active
iPad Magic Keyboard Dock	ipad magic keyboard dock	en	manual_head_seed	active
iPad Magic Keyboard Dock	айпад magic keyboard dock	ru	manual_head_seed	active
iPad Magic Keyboard Dock	ipad magic keyboard dock	ru	manual_head_seed	active
Galaxy Tab Keyboard Dock	galaxy tab keyboard dock	en	manual_head_seed	active
Galaxy Tab Keyboard Dock	галакси таб keyboard dock	ru	manual_head_seed	active
Galaxy Tab Keyboard Dock	самсунг таб keyboard dock	ru	manual_head_seed	active
USB-C Tablet Dock	usb-c tablet dock	en	manual_head_seed	active
USB-C Tablet Hub	usb-c tablet hub	en	manual_head_seed	active
Adjustable Tablet Stand	adjustable tablet stand	en	manual_head_seed	active
Foldable Tablet Stand	foldable tablet stand	en	manual_head_seed	active
Universal Tablet Stand	universal tablet stand	en	manual_head_seed	active
