brand	family	line	model	tablet_type	release_year	seed_scope	status	notes_ru
APPLE	IPAD	Pro	iPad Pro 13	TABLET		head	active	
APPLE	IPAD	Pro	iPad Pro 11	TABLET		head	active	
APPLE	IPAD	Air	iPad Air 13	TABLET		head	active	
APPLE	IPAD	Air	iPad Air 11	TABLET		head	active	
APPLE	IPAD	10th	iPad 10th generation	TABLET		head	active	
APPLE	IPAD	9th	iPad 9th generation	TABLET		head	active	
APPLE	IPAD	mini	iPad mini	TABLET		head	active	
SAMSUNG	GALAXY_TAB	S10	Galaxy Tab S10 Ultra	TABLET		head	active	
SAMSUNG	GALAXY_TAB	S10	Galaxy Tab S10 Plus	TABLET		head	active	
SAMSUNG	GALAXY_TAB	S9	Galaxy Tab S9 Ultra	TABLET		head	active	
SAMSUNG	GALAXY_TAB	S9	Galaxy Tab S9	TABLET		head	active	
SAMSUNG	GALAXY_TAB	S9	Galaxy Tab S9 FE	TABLET		head	active	
SAMSUNG	GALAXY_TAB	A9	Galaxy Tab A9 Plus	TABLET		head	active	
SAMSUNG	GALAXY_TAB	A9	Galaxy Tab A9	TABLET		head	active	
SAMSUNG	GALAXY_TAB	Active5	Galaxy Tab Active5	TABLET		head	active	
LENOVO	LENOVO_TAB	Tab	Lenovo Tab M11	TABLET		head	active	
LENOVO	LENOVO_TAB	Tab	Lenovo Tab P12	TABLET		head	active	
LENOVO	LENOVO_TAB	Tab	Lenovo Tab Plus	TABLET		head	active	
LENOVO	LENOVO_TAB	Yoga	Lenovo Yoga Tab	TABLET		head	active	
LENOVO	LENOVO_TAB	Legion	Lenovo Legion Tab	TABLET		head	active	
LENOVO	LENOVO_TAB	Tab	Lenovo Tab M10	TABLET		head	active	
XIAOMI	XIAOMI_PAD	Xiaomi	Xiaomi Pad 6	TABLET		head	active	
XIAOMI	XIAOMI_PAD	Xiaomi	Xiaomi Pad 6S Pro	TABLET		head	active	
XIAOMI	XIAOMI_PAD	Redmi	Redmi Pad Pro	TABLET		head	active	
XIAOMI	XIAOMI_PAD	Redmi	Redmi Pad SE	TABLET		head	active	
XIAOMI	XIAOMI_PAD	POCO	POCO Pad	TABLET		head	active	
HUAWEI	MATEPAD		Huawei MatePad 11.5	TABLET		head	active	
HUAWEI	MATEPAD		Huawei MatePad Pro	TABLET		head	active	
