value_set	value_code	label_ru	aliases_ru	sort_order	usage_scope	status	notes_ru
tablet_type	TABLET	Планшет	планшеты;tablet;tab	1	all	active	standard tablet
tablet_type	KIDS_TABLET	Детский планшет	kids tablet;детский tab	2	all	active	real device, not toy
tablet_type	E_READER	Электронная книга	ридер;читалка;e-reader;kindle	3	all	active	e-ink/reading device
tablet_type	GRAPHICS_TABLET	Графический планшет	планшет для рисования;drawing tablet;pen tablet	4	all	active	creative input/display tablet
tablet_type	TABLET_DOCK	Док-станция для планшета	док для планшета;tablet dock	5	all	active	tablet-specific dock
tablet_type	TABLET_STAND	Подставка для планшета	держатель планшета;tablet stand	6	all	active	tablet stand/holder
condition	NEW	Новое	новый;запечатанный	1	all	active	
condition	OPEN_BOX	Открытая коробка	open box;как новый	2	all	active	
condition	USED	Б/у	бу;used	3	all	active	
condition	REFURBISHED	Восстановленное	ref;refurbished	4	all	active	
condition	FOR_PARTS	На запчасти	нерабочий;на детали	5	all	active	
brand_head	APPLE	Apple		1	all	active	head brand value; long-tail via runtime candidates
brand_head	SAMSUNG	Samsung		2	all	active	head brand value; long-tail via runtime candidates
brand_head	LENOVO	Lenovo		3	all	active	head brand value; long-tail via runtime candidates
brand_head	XIAOMI	Xiaomi		4	all	active	head brand value; long-tail via runtime candidates
brand_head	HUAWEI	Huawei		5	all	active	head brand value; long-tail via runtime candidates
brand_head	HONOR	Honor		6	all	active	head brand value; long-tail via runtime candidates
brand_head	AMAZON	Amazon		7	all	active	head brand value; long-tail via runtime candidates
brand_head	KOBO	Kobo		8	all	active	head brand value; long-tail via runtime candidates
brand_head	POCKETBOOK	Pocketbook		9	all	active	head brand value; long-tail via runtime candidates
brand_head	ONYX_BOOX	Onyx Boox		10	all	active	head brand value; long-tail via runtime candidates
brand_head	REMARKABLE	Remarkable		11	all	active	head brand value; long-tail via runtime candidates
brand_head	WACOM	Wacom		12	all	active	head brand value; long-tail via runtime candidates
