alias	categoryCode	target_type	alias_type	locale	confidence	notes
телевизор	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
тв	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
smart tv	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
смарт тв	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
4k tv	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
oled телевизор	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
qled телевизор	TECH.TV_HOME_THEATER	TV	TYPE_ALIAS	ru	0.9	direct type alias
проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
домашний проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
лазерный проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
4к проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
мини проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
ust проектор	TECH.TV_HOME_THEATER	PROJECTOR	TYPE_ALIAS	ru	0.9	direct type alias
медиаплеер	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
стриминговая приставка	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
apple tv	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
chromecast	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
fire tv	TECH.TV_HOME_THEATER	STREAMING_DEVICE	TYPE_ALIAS	ru	0.9	direct type alias
