av_type	attribute_code	importance	usage	covered
TV	av_type	T0/T1	used_in_search_filter	yes
TV	brand	T0/T1	used_in_search_filter	yes
TV	condition	T0/T1	used_in_search_filter	yes
TV	model_name_text	T0/T1	used_in_search_filter	yes
TV	price	T0/T1	commerce	yes
TV	currency	T0/T1	commerce	yes
TV	availability	T0/T1	commerce	yes
TV	screen_size_in	T0/T1	used_in_search_filter	yes
TV	resolution	T0/T1	used_in_search_filter	yes
TV	display_technology	T0/T1	used_in_search_filter	yes
TV	refresh_rate_hz	T2	used_in_search_filter	yes
TV	hdr_standard	T2	used_in_search_filter	yes
TV	smart_tv_platform	T2	used_in_search_filter	yes
TV	hdmi_ports	T2	used_in_search_filter	yes
PROJECTOR	av_type	T0/T1	used_in_search_filter	yes
PROJECTOR	brand	T0/T1	used_in_search_filter	yes
PROJECTOR	condition	T0/T1	used_in_search_filter	yes
PROJECTOR	model_name_text	T0/T1	used_in_search_filter	yes
PROJECTOR	price	T0/T1	commerce	yes
PROJECTOR	currency	T0/T1	commerce	yes
PROJECTOR	availability	T0/T1	commerce	yes
PROJECTOR	resolution	T0/T1	used_in_search_filter	yes
PROJECTOR	projector_type	T0/T1	used_in_search_filter	yes
PROJECTOR	projector_light_source	T0/T1	used_in_search_filter	yes
PROJECTOR	brightness_lumens	T2	used_in_search_filter	yes
PROJECTOR	throw_type	T2	used_in_search_filter	yes
PROJECTOR	projector_display_tech	T2	used_in_search_filter	yes
STREAMING_DEVICE	av_type	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	brand	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	condition	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	model_name_text	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	price	T0/T1	commerce	yes
STREAMING_DEVICE	currency	T0/T1	commerce	yes
STREAMING_DEVICE	availability	T0/T1	commerce	yes
STREAMING_DEVICE	streaming_os	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	max_output_resolution	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	hdr_standard	T0/T1	used_in_search_filter	yes
STREAMING_DEVICE	wifi_standard	T2	used_in_search_filter	yes
STREAMING_DEVICE	voice_assistant	T2	used_in_search_filter	yes
TV_BOX	av_type	T0/T1	used_in_search_filter	yes
TV_BOX	brand	T0/T1	used_in_search_filter	yes
TV_BOX	condition	T0/T1	used_in_search_filter	yes
TV_BOX	model_name_text	T0/T1	used_in_search_filter	yes
TV_BOX	price	T0/T1	commerce	yes
TV_BOX	currency	T0/T1	commerce	yes
TV_BOX	availability	T0/T1	commerce	yes
TV_BOX	streaming_os	T0/T1	used_in_search_filter	yes
TV_BOX	max_output_resolution	T0/T1	used_in_search_filter	yes
TV_BOX	ram_gb	T0/T1	used_in_search_filter	yes
TV_BOX	storage_capacity_gb	T2	used_in_search_filter	yes
TV_BOX	wifi_standard	T2	used_in_search_filter	yes
HOME_THEATER_SYSTEM	av_type	T0/T1	used_in_search_filter	yes
HOME_THEATER_SYSTEM	brand	T0/T1	used_in_search_filter	yes
HOME_THEATER_SYSTEM	condition	T0/T1	used_in_search_filter	yes
HOME_THEATER_SYSTEM	model_name_text	T0/T1	used_in_search_filter	yes
