alias	brand	family	line	model	av_type	alias_type	confidence	notes
QN90D	SAMSUNG	NEO_QLED	QN90	QN90D	TV	MODEL_ALIAS	0.85	generated_head_alias
SAMSUNG QN90D	SAMSUNG	NEO_QLED	QN90	QN90D	TV	MODEL_ALIAS	0.89	generated_head_alias
qn90d	SAMSUNG	NEO_QLED	QN90	QN90D	TV	MODEL_ALIAS	0.83	generated_head_alias
samsung qn90d	SAMSUNG	NEO_QLED	QN90	QN90D	TV	MODEL_ALIAS	0.92	generated_head_alias
самсунг qn90d	SAMSUNG	NEO_QLED	QN90	QN90D	TV	MODEL_ALIAS	0.89	generated_head_alias
QN900D	SAMSUNG	NEO_QLED	QN900	QN900D	TV	MODEL_ALIAS	0.84	generated_head_alias
SAMSUNG QN900D	SAMSUNG	NEO_QLED	QN900	QN900D	TV	MODEL_ALIAS	0.84	generated_head_alias
qn900d	SAMSUNG	NEO_QLED	QN900	QN900D	TV	MODEL_ALIAS	0.83	generated_head_alias
samsung qn900d	SAMSUNG	NEO_QLED	QN900	QN900D	TV	MODEL_ALIAS	0.94	generated_head_alias
самсунг qn900d	SAMSUNG	NEO_QLED	QN900	QN900D	TV	MODEL_ALIAS	0.93	generated_head_alias
S95D	SAMSUNG	OLED	S95	S95D	TV	MODEL_ALIAS	0.84	generated_head_alias
SAMSUNG S95D	SAMSUNG	OLED	S95	S95D	TV	MODEL_ALIAS	0.91	generated_head_alias
s95d	SAMSUNG	OLED	S95	S95D	TV	MODEL_ALIAS	0.85	generated_head_alias
samsung s95d	SAMSUNG	OLED	S95	S95D	TV	MODEL_ALIAS	0.96	generated_head_alias
самсунг s95d	SAMSUNG	OLED	S95	S95D	TV	MODEL_ALIAS	0.87	generated_head_alias
SAMSUNG The Frame LS03D	SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	MODEL_ALIAS	0.9	generated_head_alias
The Frame LS03D	SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	MODEL_ALIAS	0.83	generated_head_alias
samsung the frame ls03d	SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	MODEL_ALIAS	0.83	generated_head_alias
the frame ls03d	SAMSUNG	THE_FRAME	LS03	The Frame LS03D	TV	MODEL_ALIAS	0.87	generated_head_alias
