id	query	expected_categoryCode	expected_av_type	expected_attrs_json	notes
GQ0001	Телевизор	TECH.TV_HOME_THEATER	TV	{}	type coverage
GQ0002	LED/OLED/QLED/Mini LED/Smart TV	TECH.TV_HOME_THEATER	TV	{}	type coverage
GQ0003	tv	TECH.TV_HOME_THEATER	TV	{}	type coverage
GQ0004	Проектор	TECH.TV_HOME_THEATER	PROJECTOR	{}	type coverage
GQ0005	Домашний	TECH.TV_HOME_THEATER	PROJECTOR	{}	type coverage
GQ0006	projector	TECH.TV_HOME_THEATER	PROJECTOR	{}	type coverage
GQ0007	Стриминговое устройство	TECH.TV_HOME_THEATER	STREAMING_DEVICE	{}	type coverage
GQ0008	Apple TV	TECH.TV_HOME_THEATER	STREAMING_DEVICE	{}	type coverage
GQ0009	streaming device	TECH.TV_HOME_THEATER	STREAMING_DEVICE	{}	type coverage
GQ0010	TV box / медиаплеер	TECH.TV_HOME_THEATER	TV_BOX	{}	type coverage
GQ0011	Android TV box	TECH.TV_HOME_THEATER	TV_BOX	{}	type coverage
GQ0012	tv box	TECH.TV_HOME_THEATER	TV_BOX	{}	type coverage
GQ0013	Домашний кинотеатр	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	{}	type coverage
GQ0014	Комплект домашнего кинотеатра / HTIB	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	{}	type coverage
GQ0015	home theater system	TECH.TV_HOME_THEATER	HOME_THEATER_SYSTEM	{}	type coverage
GQ0016	AV-ресивер	TECH.TV_HOME_THEATER	AV_RECEIVER	{}	type coverage
GQ0017	Ресивер/процессор для домашнего кинотеатра	TECH.TV_HOME_THEATER	AV_RECEIVER	{}	type coverage
GQ0018	av receiver	TECH.TV_HOME_THEATER	AV_RECEIVER	{}	type coverage
GQ0019	DVD/Blu-ray плеер	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	{}	type coverage
GQ0020	DVD	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	{}	type coverage
GQ0021	dvd blu ray player	TECH.TV_HOME_THEATER	DVD_BLU_RAY_PLAYER	{}	type coverage
GQ0022	Set-top box	TECH.TV_HOME_THEATER	SET_TOP_BOX	{}	type coverage
GQ0023	Кабельная/спутниковая/IPTV приставка	TECH.TV_HOME_THEATER	SET_TOP_BOX	{}	type coverage
GQ0024	set top box	TECH.TV_HOME_THEATER	SET_TOP_BOX	{}	type coverage
GQ0025	Пульт ДУ	TECH.TV_HOME_THEATER	REMOTE_CONTROL	{}	type coverage
GQ0026	TV/AV/streaming remote	TECH.TV_HOME_THEATER	REMOTE_CONTROL	{}	type coverage
GQ0027	remote control	TECH.TV_HOME_THEATER	REMOTE_CONTROL	{}	type coverage
GQ0028	Кронштейн/крепление ТВ	TECH.TV_HOME_THEATER	TV_MOUNT	{}	type coverage
GQ0029	VESA wall mount	TECH.TV_HOME_THEATER	TV_MOUNT	{}	type coverage
GQ0030	tv mount	TECH.TV_HOME_THEATER	TV_MOUNT	{}	type coverage
GQ0031	Экран для проектора	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	{}	type coverage
GQ0032	Manual/electric/fixed/ALR screen	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	{}	type coverage
GQ0033	projector screen	TECH.TV_HOME_THEATER	PROJECTOR_SCREEN	{}	type coverage
GQ0034	телевизор samsung 55 4k smart tv		TV	"{""brand"": ""SAMSUNG"", ""screen_size_in"": 55, ""resolution"": ""UHD_4K""}"	manual head query
GQ0035	lg oled c4 65		TV	"{""brand"": ""LG"", ""display_technology"": ""OLED""}"	manual head query
GQ0036	sony bravia 9 75 mini led		TV	"{""brand"": ""SONY"", ""display_technology"": ""MINI_LED""}"	manual head query
GQ0037	tcl c855 65 qled		TV	"{""brand"": ""TCL""}"	manual head query
GQ0038	hisense u8n 75 mini led		TV	"{""brand"": ""HISENSE""}"	manual head query
GQ0039	xiaomi tv a pro 43		TV	"{""brand"": ""XIAOMI""}"	manual head query
GQ0040	телевизор 32 дюйма hd		TV	"{""screen_size_in"": 32, ""resolution"": ""HD""}"	manual head query
GQ0041	телевизор 120 герц hdmi 2.1		TV	"{""refresh_rate_hz"": ""HZ_100_120"", ""hdmi_version"": ""HDMI_2_1""}"	manual head query
GQ0042	проектор epson 4k		PROJECTOR	"{""brand"": ""EPSON"", ""resolution"": ""UHD_4K""}"	manual head query
GQ0043	лазерный проектор короткофокусный		PROJECTOR	"{""projector_light_source"": ""LASER"", ""throw_type"": ""SHORT_THROW""}"	manual head query
GQ0044	ультракороткофокусный проектор ust		PROJECTOR	"{""throw_type"": ""ULTRA_SHORT_THROW""}"	manual head query
