attribute_code	value_code	label_ru	aliases	priority	value_kind	notes
av_type	TV	Телевизор	LED/OLED/QLED/Mini LED/Smart TV	100	head	
av_type	PROJECTOR	Проектор	Домашний, офисный, portable, laser/LED/lamp	101	head	
av_type	STREAMING_DEVICE	Стриминговое устройство	Apple TV, Chromecast, Roku, Fire TV, Shield и аналоги	102	head	
av_type	TV_BOX	TV box / медиаплеер	Android TV box, IPTV box, media player	103	head	
av_type	HOME_THEATER_SYSTEM	Домашний кинотеатр	Комплект домашнего кинотеатра / HTIB	104	head	
av_type	AV_RECEIVER	AV-ресивер	Ресивер/процессор для домашнего кинотеатра	105	head	
av_type	DVD_BLU_RAY_PLAYER	DVD/Blu-ray плеер	DVD, Blu-ray, UHD Blu-ray проигрыватель	106	head	
av_type	SET_TOP_BOX	Set-top box	Кабельная/спутниковая/IPTV приставка	107	head	
av_type	REMOTE_CONTROL	Пульт ДУ	TV/AV/streaming remote	108	head	
av_type	TV_MOUNT	Кронштейн/крепление ТВ	VESA wall mount, floor stand, ceiling mount	109	head	
av_type	PROJECTOR_SCREEN	Экран для проектора	Manual/electric/fixed/ALR screen	110	head	
display_technology	LED	LED	led tv	100	head	
display_technology	LCD	LCD		101	head	
display_technology	QLED	QLED	quantum dot	102	head	
display_technology	OLED	OLED		103	head	
display_technology	QD_OLED	QD-OLED		104	head	
display_technology	MINI_LED	Mini LED	mini-led	105	head	
display_technology	MICRO_LED	MicroLED	micro led	106	head	
display_technology	NANOCELL	NanoCell		107	head	
display_technology	LASER_TV	Laser TV	ust projector tv	108	head	
display_technology	PLASMA	Плазма	plasma	109	head	
resolution	HD	HD 720p	720p	100	head	
resolution	FHD	Full HD 1080p	1080p	101	head	
resolution	QHD	QHD / 1440p	2k	102	head	
resolution	UHD_4K	4K UHD	4k / ultra hd	103	head	
resolution	UHD_8K	8K UHD	8k	104	head	
resolution	DCI_4K	DCI 4K	4096x2160	105	head	
resolution	WVGA	WVGA		106	head	
resolution	XGA	XGA		107	head	
resolution	WXGA	WXGA		108	head	
refresh_rate_hz	HZ_50_60	50/60 Гц	60hz	100	head	
refresh_rate_hz	HZ_100_120	100/120 Гц	120hz	101	head	
refresh_rate_hz	HZ_144	144 Гц	144hz	102	head	
refresh_rate_hz	HZ_165	165 Гц	165hz	103	head	
refresh_rate_hz	HZ_240	240 Гц	240hz	104	head	
hdr_standard	HDR10	HDR10		100	head	
hdr_standard	HDR10_PLUS	HDR10+	hdr10 plus	101	head	
hdr_standard	HLG	HLG		102	head	
hdr_standard	DOLBY_VISION	Dolby Vision	dv	103	head	
hdr_standard	DOLBY_VISION_IQ	Dolby Vision IQ		104	head	
hdr_standard	IMAX_ENHANCED	IMAX Enhanced		105	head	
hdr_standard	NONE	Нет		106	head	
smart_tv_platform	TIZEN	Samsung Tizen		100	head	
smart_tv_platform	WEBOS	LG webOS		101	head	
smart_tv_platform	GOOGLE_TV	Google TV		102	head	
smart_tv_platform	ANDROID_TV	Android TV		103	head	
smart_tv_platform	ROKU_TV	Roku TV		104	head	
smart_tv_platform	FIRE_TV	Fire TV		105	head	
smart_tv_platform	VIDAA	VIDAA	Hisense vidaa	106	head	
smart_tv_platform	TITAN_OS	Titan OS		107	head	
smart_tv_platform	APPLE_TV_APP_ONLY	Apple TV app only		108	head	
smart_tv_platform	NONE	Без Smart TV		109	head	
tuner_standard	DVB_T2	DVB-T2		100	head	
tuner_standard	DVB_C	DVB-C		101	head	
tuner_standard	DVB_S2	DVB-S2		102	head	
tuner_standard	ATSC	ATSC		103	head	
tuner_standard	ATSC_3_0	ATSC 3.0	nextgen tv	104	head	
tuner_standard	ISDB_T	ISDB-T		105	head	
tuner_standard	IPTV	IPTV		106	head	
tuner_standard	NONE	Нет		107	head	
hdmi_version	HDMI_1_4	HDMI 1.4		100	head	
hdmi_version	HDMI_2_0	HDMI 2.0		101	head	
hdmi_version	HDMI_2_1	HDMI 2.1		102	head	
hdmi_version	HDMI_ARC	HDMI ARC		103	head	
hdmi_version	HDMI_EARC	HDMI eARC		104	head	
hdmi_version	UNKNOWN	Не указано		105	head	
display_panel_finish	GLOSSY	Глянцевое		100	head	
display_panel_finish	MATTE	Матовое		101	head	
display_panel_finish	ANTI_GLARE	Антибликовое		102	head	
display_panel_finish	SEMI_GLOSS	Полуглянцевое		103	head	
backlight_type	EDGE_LED	Edge LED		100	head	
backlight_type	DIRECT_LED	Direct LED		101	head	
backlight_type	FALD	Full Array Local Dimming	full array	102	head	
backlight_type	MINI_LED	Mini LED		103	head	
backlight_type	OLED_SELF_EMISSIVE	OLED self-emissive		104	head	
backlight_type	LASER	Laser		105	head	
gaming_features	ALLM	ALLM	auto low latency	100	head	
gaming_features	VRR	VRR	variable refresh	101	head	
gaming_features	FREESYNC	FreeSync		102	head	
gaming_features	G_SYNC_COMPATIBLE	G-Sync Compatible		103	head	
gaming_features	GAME_BAR	Game Bar		104	head	
gaming_features	HDMI_2_1_4K120	4K120 over HDMI 2.1		105	head	
projector_type	LONG_THROW	Long throw	standard throw	100	head	
projector_type	SHORT_THROW	Short throw		101	head	
projector_type	ULTRA_SHORT_THROW	Ultra short throw	ust	102	head	
projector_type	PORTABLE	Портативный	portable	103	head	
projector_type	PICO	Pico	мини проектор	104	head	
projector_type	HOME_CINEMA	Домашний кинотеатр	home cinema	105	head	
projector_type	BUSINESS	Офисный	business projector	106	head	
projector_type	LASER_TV	Laser TV		107	head	
projector_light_source	LAMP	Лампа	lamp	100	head	
projector_light_source	LED	LED		101	head	
projector_light_source	LASER	Laser	лазер	102	head	
projector_light_source	HYBRID	Hybrid	laser+led	103	head	
projector_light_source	RGB_LASER	RGB laser	triple laser	104	head	
projector_display_tech	DLP	DLP		100	head	
projector_display_tech	THREE_LCD	3LCD		101	head	
projector_display_tech	LCD	LCD		102	head	
projector_display_tech	LCOS	LCoS		103	head	
projector_display_tech	SXRD	SXRD	Sony	104	head	
projector_display_tech	D_ILA	D-ILA	JVC	105	head	
throw_type	STANDARD_THROW	Standard throw		100	head	
throw_type	SHORT_THROW	Short throw		101	head	
throw_type	ULTRA_SHORT_THROW	Ultra short throw	UST	102	head	
throw_type	PORTABLE_VARIABLE	Portable variable		103	head	
keystone_correction	NONE	Нет		100	head	
keystone_correction	MANUAL_VERTICAL	Manual vertical		101	head	
keystone_correction	MANUAL_2D	Manual 2D		102	head	
keystone_correction	AUTO_VERTICAL	Auto vertical		103	head	
keystone_correction	AUTO_2D	Auto 2D		104	head	
keystone_correction	AUTO_4_POINT	Auto 4-point		105	head	
streaming_os	TVOS	tvOS	Apple TV	100	head	
streaming_os	GOOGLE_TV	Google TV		101	head	
streaming_os	ANDROID_TV	Android TV		102	head	
streaming_os	ROKU_OS	Roku OS		103	head	
streaming_os	FIRE_TV_OS	Fire TV OS		104	head	
streaming_os	SHIELD_TV	NVIDIA Shield TV		105	head	
streaming_os	WEBOS	webOS		106	head	
streaming_os	TIZEN	Tizen		107	head	
streaming_os	LINUX_MEDIA_PLAYER	Linux media player		108	head	
streaming_os	PROPRIETARY	Proprietary		109	head	
audio_channel_config	TWO_ZERO	2.0		100	head	
audio_channel_config	TWO_ONE	2.1		101	head	
audio_channel_config	FIVE_ONE	5.1		102	head	
audio_channel_config	FIVE_ONE_TWO	5.1.2		103	head	
audio_channel_config	SEVEN_ONE	7.1		104	head	
audio_channel_config	SEVEN_ONE_FOUR	7.1.4		105	head	
audio_channel_config	NINE_ONE_FOUR	9.1.4		106	head	
audio_channel_config	ELEVEN_ONE_FOUR	11.1.4		107	head	
receiver_channels	FIVE_TWO	5.2		100	head	
receiver_channels	SEVEN_TWO	7.2		101	head	
receiver_channels	SEVEN_TWO_FOUR	7.2.4		102	head	
receiver_channels	NINE_TWO	9.2		103	head	
receiver_channels	NINE_FOUR	9.4		104	head	
receiver_channels	ELEVEN_TWO	11.2		105	head	
receiver_channels	THIRTEEN_TWO	13.2		106	head	
surround_format	DOLBY_DIGITAL	Dolby Digital		100	head	
surround_format	DOLBY_TRUEHD	Dolby TrueHD		101	head	
surround_format	DOLBY_ATMOS	Dolby Atmos		102	head	
surround_format	DTS	DTS		103	head	
surround_format	DTS_HD_MA	DTS-HD MA		104	head	
surround_format	DTS_X	DTS:X		105	head	
surround_format	AURO_3D	Auro-3D		106	head	
surround_format	IMAX_ENHANCED	IMAX Enhanced		107	head	
disc_format	DVD	DVD		100	head	
disc_format	BLU_RAY	Blu-ray	bd	101	head	
