alias	locale	target_type	target_code	weight	notes
ремешок apple watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок эпл вотч	ru	wearable_type	WATCH_BAND	1.0	watch band route
браслет apple watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
strap apple watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
apple watch band	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок для apple watch ultra	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок для apple watch 45 мм	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок для apple watch 49 мм	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок galaxy watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
браслет galaxy watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок samsung watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
galaxy watch band	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок garmin	ru	wearable_type	WATCH_BAND	1.0	watch band route
браслет garmin	ru	wearable_type	WATCH_BAND	1.0	watch band route
garmin quickfit	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок mi band	ru	wearable_type	WATCH_BAND	1.0	watch band route
браслет mi band	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок amazfit	ru	wearable_type	WATCH_BAND	1.0	watch band route
браслет amazfit	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок для смарт часов	ru	wearable_type	WATCH_BAND	1.0	watch band route
ремешок для умных часов	ru	wearable_type	WATCH_BAND	1.0	watch band route
силиконовый ремешок для часов	ru	wearable_type	WATCH_BAND	1.0	watch band route
металлический браслет для smart watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
кожаный ремешок для smart watch	ru	wearable_type	WATCH_BAND	1.0	watch band route
защитное стекло apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
пленка apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
бампер apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
чехол apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
корпус защитный apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
зарядная подставка apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
док станция apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
кейс для apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
адаптер ремешка apple watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
защита экрана galaxy watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
чехол galaxy watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
бампер galaxy watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
зарядка galaxy watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
аксессуар для smart watch	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
аксессуары для умных часов	ru	wearable_type	WEARABLE_ACCESSORY	0.95	wearable accessory route
ar очки	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
ар очки	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
очки дополненной реальности	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
умные очки ar	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
smart glasses ar	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
xreal air	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
nreal air	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
rokid max	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
viture one	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
rayneo air	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
tcl rayneo	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
ray ban meta	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
очки meta ray ban	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
смарт очки ray ban	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
ar glasses	ru	wearable_type	AR_GLASSES	1.0	AR glasses route
обычные наручные часы	ru	negative_route_hint	FASH.ACCESSORIES	1.0	do not route to TECH.WEARABLES
механические часы	ru	negative_route_hint	FASH.ACCESSORIES	1.0	do not route to TECH.WEARABLES
золотое кольцо	ru	negative_route_hint	FASH.ACCESSORIES	1.0	do not route to TECH.WEARABLES
airpods	ru	negative_route_hint	TECH.AUDIO	1.0	do not route to TECH.WEARABLES
чехол iphone	ru	negative_route_hint	TECH.PHONE_ACCESSORIES	1.0	do not route to TECH.WEARABLES
