query	expected_categoryCode	expected_wearable_type	notes
ремешок apple watch 45 мм	TECH.WEARABLES	WATCH_BAND	band delta smoke
браслет apple watch ultra 49	TECH.WEARABLES	WATCH_BAND	band delta smoke
ремешок galaxy watch 6 20mm	TECH.WEARABLES	WATCH_BAND	band delta smoke
ремешок garmin quickfit 22	TECH.WEARABLES	WATCH_BAND	band delta smoke
браслет xiaomi mi band 8	TECH.WEARABLES	WATCH_BAND	band delta smoke
ремешок amazfit gtr	TECH.WEARABLES	WATCH_BAND	band delta smoke
кожаный ремешок для смарт часов	TECH.WEARABLES	WATCH_BAND	band delta smoke
metal band apple watch	TECH.WEARABLES	WATCH_BAND	band delta smoke
защитное стекло apple watch series 9	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
бампер apple watch ultra	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
чехол galaxy watch 6	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
зарядная подставка apple watch	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
док станция для galaxy watch	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
адаптер ремешка garmin quickfit	TECH.WEARABLES	WEARABLE_ACCESSORY	accessory delta smoke
xreal air 2 pro	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
очки дополненной реальности xreal	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
rokid max ar glasses	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
viture one xr glasses	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
rayneo air 2	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
ray ban meta smart glasses	TECH.WEARABLES	AR_GLASSES	AR glasses delta smoke
обычные механические часы casio	FASH.ACCESSORIES		negative route smoke
airpods pro 2	TECH.AUDIO		negative route smoke
чехол iphone 15 pro max	TECH.PHONE_ACCESSORIES		negative route smoke
usb c кабель apple watch	TECH.POWER_CHARGING_CABLES		negative route smoke
золотое кольцо с камнем	FASH.ACCESSORIES		negative route smoke
