value_group	value_code	label_ru	tier	notes	status
brand_head_delta	NOMAD	Nomad	head_delta	premium watch bands and wearable accessories	active
brand_head_delta	SPIGEN	Spigen	head_delta	protective wearable accessories	active
brand_head_delta	ESR	ESR	head_delta	watch bands and protectors	active
brand_head_delta	PITAKA	PITAKA	head_delta	carbon wearable accessories	active
brand_head_delta	UAG	UAG	head_delta	rugged wearable bands/cases	active
brand_head_delta	BASEUS	Baseus	head_delta	chargers/adapters/wearable accessories	active
brand_head_delta	BELKIN	Belkin	head_delta	Apple Watch accessories	active
brand_head_delta	OTTERBOX	OtterBox	head_delta	protective bands/cases	active
brand_head_delta	SUPCASE	SUPCASE	head_delta	rugged watch accessories	active
brand_head_delta	RINGKE	Ringke	head_delta	watch cases/bands	active
brand_head_delta	VITURE	VITURE	head_delta	AR glasses	active
brand_head_delta	ROKID	Rokid	head_delta	AR glasses	active
brand_head_delta	RAYNEO	RayNeo	head_delta	AR glasses	active
brand_head_delta	TCL	TCL	head_delta	AR glasses	active
brand_head_delta	NREAL	Nreal	head_delta	legacy XREAL/Nreal aliases	active
brand_head_delta	LENOVO	Lenovo	head_delta	smart/AR glasses	active
brand_head_delta	HTC	HTC	head_delta	XR/wearable display devices	active
brand_head_delta	VUZIX	Vuzix	head_delta	AR smart glasses	active
brand_head_delta	EPSON	Epson	head_delta	smart glasses	active
wearable_accessory_soft_type	WATCH_BAND	Ремешок для умных часов	soft_delta	Primary wearable strap/band subtype	active
wearable_accessory_soft_type	WATCH_CASE	Защитный корпус/бампер для часов	soft_delta	Wearable accessory	active
wearable_accessory_soft_type	WATCH_SCREEN_PROTECTOR	Защитное стекло/плёнка для часов	soft_delta	Wearable accessory	active
wearable_accessory_soft_type	WATCH_CHARGER_STAND	Зарядная подставка для часов	soft_delta	Wearable accessory; route may defer generic chargers to POWER_CHARGING_CABLES	active
wearable_accessory_soft_type	WATCH_DOCK	Док-станция для часов	soft_delta	Wearable accessory	active
wearable_accessory_soft_type	WATCH_LUG_ADAPTER	Адаптер крепления ремешка	soft_delta	Wearable accessory	active
wearable_accessory_soft_type	RING_CHARGING_CASE	Зарядный кейс/док для умного кольца	soft_delta	Smart ring accessory	active
wearable_accessory_soft_type	AR_GLASS_CASE	Кейс/футляр для AR-очков	soft_delta	AR glasses accessory	active
wearable_accessory_soft_type	AR_GLASS_CABLE	Кабель/адаптер для AR-очков	soft_delta	Accessory; route generic cables to POWER_CHARGING_CABLES if not wearable-specific	active
band_connector_type_delta	APPLE_WATCH_LUG	Крепление Apple Watch	head_delta	watch band compatibility hint	active
band_connector_type_delta	GALAXY_WATCH_QUICK_RELEASE	Quick release для Galaxy Watch	head_delta	watch band compatibility hint	active
band_connector_type_delta	GARMIN_QUICKFIT	Garmin QuickFit	head_delta	watch band compatibility hint	active
band_connector_type_delta	GARMIN_QUICK_RELEASE	Garmin Quick Release	head_delta	watch band compatibility hint	active
band_connector_type_delta	MI_BAND_CLIP	Крепление Xiaomi Mi Band	head_delta	watch band compatibility hint	active
band_connector_type_delta	UNIVERSAL_20MM	Универсальный 20 мм	head_delta	watch band compatibility hint	active
band_connector_type_delta	UNIVERSAL_22MM	Универсальный 22 мм	head_delta	watch band compatibility hint	active
