alias	locale	target_type	target_code	weight	notes
умные часы	ru	wearable_type	SMARTWATCH	1.0	
смарт часы	ru	wearable_type	SMARTWATCH	1.0	
смартчасы	ru	wearable_type	SMARTWATCH	1.0	
smart watch	ru	wearable_type	SMARTWATCH	1.0	
smartwatch	ru	wearable_type	SMARTWATCH	1.0	
часы apple watch	ru	wearable_type	SMARTWATCH	1.0	
galaxy watch	ru	wearable_type	SMARTWATCH	1.0	
фитнес браслет	ru	wearable_type	FITNESS_TRACKER	1.0	
фитнес-браслет	ru	wearable_type	FITNESS_TRACKER	1.0	
activity tracker	ru	wearable_type	FITNESS_TRACKER	1.0	
трекер активности	ru	wearable_type	FITNESS_TRACKER	1.0	
браслет шагомер	ru	wearable_type	FITNESS_TRACKER	1.0	
фитнес трекер	ru	wearable_type	FITNESS_TRACKER	1.0	
умное кольцо	ru	wearable_type	SMART_RING	1.0	
smart ring	ru	wearable_type	SMART_RING	1.0	
oura ring	ru	wearable_type	SMART_RING	1.0	
galaxy ring	ru	wearable_type	SMART_RING	1.0	
кольцо здоровья	ru	wearable_type	SMART_RING	1.0	
умные очки	ru	wearable_type	AR_GLASSES	1.0	
ar очки	ru	wearable_type	AR_GLASSES	1.0	
xr glasses	ru	wearable_type	AR_GLASSES	1.0	
smart glasses	ru	wearable_type	AR_GLASSES	1.0	
ray ban meta	ru	wearable_type	AR_GLASSES	1.0	
xreal air	ru	wearable_type	AR_GLASSES	1.0	
аксессуар для часов	ru	wearable_type	WEARABLE_ACCESSORY	1.0	
зарядка для часов	ru	wearable_type	WEARABLE_ACCESSORY	1.0	
пленка для apple watch	ru	wearable_type	WEARABLE_ACCESSORY	1.0	
защита для galaxy watch	ru	wearable_type	WEARABLE_ACCESSORY	1.0	
чехол для часов	ru	wearable_type	WEARABLE_ACCESSORY	1.0	
ремешок apple watch	ru	wearable_type	WATCH_BAND	1.0	
ремешок galaxy watch	ru	wearable_type	WATCH_BAND	1.0	
браслет для часов	ru	wearable_type	WATCH_BAND	1.0	
strap apple watch	ru	wearable_type	WATCH_BAND	1.0	
watch band	ru	wearable_type	WATCH_BAND	1.0	
ремешок garmin	ru	wearable_type	WATCH_BAND	1.0	
apple	ru/en	brand	APPLE	0.95	brand alias
эппл	ru/en	brand	APPLE	0.95	brand alias
апл	ru/en	brand	APPLE	0.95	brand alias
айвотч	ru/en	brand	APPLE	0.95	brand alias
iWatch	ru/en	brand	APPLE	0.95	brand alias
apple watch	ru/en	brand	APPLE	0.95	brand alias
samsung	ru/en	brand	SAMSUNG	0.95	brand alias
самсунг	ru/en	brand	SAMSUNG	0.95	brand alias
samsung galaxy watch	ru/en	brand	SAMSUNG	0.95	brand alias
galaxy watch	ru/en	brand	SAMSUNG	0.95	brand alias
google	ru/en	brand	GOOGLE	0.95	brand alias
гугл	ru/en	brand	GOOGLE	0.95	brand alias
pixel watch	ru/en	brand	GOOGLE	0.95	brand alias
пиксель watch	ru/en	brand	GOOGLE	0.95	brand alias
fitbit	ru/en	brand	FITBIT	0.95	brand alias
фитбит	ru/en	brand	FITBIT	0.95	brand alias
garmin	ru/en	brand	GARMIN	0.95	brand alias
гармин	ru/en	brand	GARMIN	0.95	brand alias
huawei	ru/en	brand	HUAWEI	0.95	brand alias
хуавей	ru/en	brand	HUAWEI	0.95	brand alias
хуавэй	ru/en	brand	HUAWEI	0.95	brand alias
xiaomi	ru/en	brand	XIAOMI	0.95	brand alias
сяоми	ru/en	brand	XIAOMI	0.95	brand alias
mi band	ru/en	brand	XIAOMI	0.95	brand alias
xiaomi band	ru/en	brand	XIAOMI	0.95	brand alias
amazfit	ru/en	brand	AMAZFIT	0.95	brand alias
амазфит	ru/en	brand	AMAZFIT	0.95	brand alias
zepp	ru/en	brand	AMAZFIT	0.95	brand alias
oura	ru/en	brand	OURA	0.95	brand alias
оура	ru/en	brand	OURA	0.95	brand alias
whoop	ru/en	brand	WHOOP	0.95	brand alias
вуп	ru/en	brand	WHOOP	0.95	brand alias
polar	ru/en	brand	POLAR	0.95	brand alias
полар	ru/en	brand	POLAR	0.95	brand alias
coros	ru/en	brand	COROS	0.95	brand alias
корос	ru/en	brand	COROS	0.95	brand alias
suunto	ru/en	brand	SUUNTO	0.95	brand alias
сунто	ru/en	brand	SUUNTO	0.95	brand alias
withings	ru/en	brand	WITHINGS	0.95	brand alias
висингс	ru/en	brand	WITHINGS	0.95	brand alias
meta	ru/en	brand	META	0.95	brand alias
ray-ban meta	ru/en	brand	META	0.95	brand alias
рей бан мета	ru/en	brand	META	0.95	brand alias
xreal	ru/en	brand	XREAL	0.95	brand alias
иксриал	ru/en	brand	XREAL	0.95	brand alias
nreal	ru/en	brand	XREAL	0.95	brand alias
обычные часы	ru	negative_route_hint	FASH.ACCESSORIES	0.80	route guard support
механические часы	ru	negative_route_hint	FASH.ACCESSORIES	0.80	route guard support
наручные часы без bluetooth	ru	negative_route_hint	FASH.ACCESSORIES	0.80	route guard support
airpods	ru	negative_route_hint	TECH.AUDIO	0.80	route guard support
наушники	ru	negative_route_hint	TECH.AUDIO	0.80	route guard support
iphone	ru	negative_route_hint	TECH.PHONES	0.80	route guard support
чехол iphone	ru	negative_route_hint	TECH.PHONE_ACCESSORIES	0.80	route guard support
