query	expected_categoryCode	expected_wearable_type	notes
Apple Watch Series 11	TECH.WEARABLES	SMARTWATCH	model head query
apple watch series 11	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch SE 3	TECH.WEARABLES	SMARTWATCH	model head query
apple watch se 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch Ultra 3	TECH.WEARABLES	SMARTWATCH	model head query
apple watch ultra 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch Series 10	TECH.WEARABLES	SMARTWATCH	model head query
apple watch series 10	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch Ultra 2	TECH.WEARABLES	SMARTWATCH	model head query
apple watch ultra 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch Series 9	TECH.WEARABLES	SMARTWATCH	model head query
apple watch series 9	TECH.WEARABLES	SMARTWATCH	lowercase model query
Apple Watch SE 2	TECH.WEARABLES	SMARTWATCH	model head query
apple watch se 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch8	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch8	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch8 Classic	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch8 classic	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch Ultra	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch ultra	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch7	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch7	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch FE	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch fe	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Watch6	TECH.WEARABLES	SMARTWATCH	model head query
galaxy watch6	TECH.WEARABLES	SMARTWATCH	lowercase model query
Galaxy Ring	TECH.WEARABLES	SMART_RING	model head query
galaxy ring	TECH.WEARABLES	SMART_RING	lowercase model query
Google Pixel Watch 4	TECH.WEARABLES	SMARTWATCH	model head query
google pixel watch 4	TECH.WEARABLES	SMARTWATCH	lowercase model query
Google Pixel Watch 3	TECH.WEARABLES	SMARTWATCH	model head query
google pixel watch 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Fitbit Charge 6	TECH.WEARABLES	FITNESS_TRACKER	model head query
fitbit charge 6	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Fitbit Inspire 3	TECH.WEARABLES	FITNESS_TRACKER	model head query
fitbit inspire 3	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Fitbit Versa 4	TECH.WEARABLES	SMARTWATCH	model head query
fitbit versa 4	TECH.WEARABLES	SMARTWATCH	lowercase model query
Fitbit Sense 2	TECH.WEARABLES	SMARTWATCH	model head query
fitbit sense 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Google Fitbit Air	TECH.WEARABLES	FITNESS_TRACKER	model head query
google fitbit air	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Garmin Fenix 8	TECH.WEARABLES	SMARTWATCH	model head query
garmin fenix 8	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Forerunner 970	TECH.WEARABLES	SMARTWATCH	model head query
garmin forerunner 970	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Forerunner 570	TECH.WEARABLES	SMARTWATCH	model head query
garmin forerunner 570	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Forerunner 965	TECH.WEARABLES	SMARTWATCH	model head query
garmin forerunner 965	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Venu X1	TECH.WEARABLES	SMARTWATCH	model head query
garmin venu x1	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Venu 3	TECH.WEARABLES	SMARTWATCH	model head query
garmin venu 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Instinct 3	TECH.WEARABLES	SMARTWATCH	model head query
garmin instinct 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Enduro 3	TECH.WEARABLES	SMARTWATCH	model head query
garmin enduro 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Lily 2	TECH.WEARABLES	SMARTWATCH	model head query
garmin lily 2	TECH.WEARABLES	SMARTWATCH	lowercase model query
Garmin Vivoactive 6	TECH.WEARABLES	SMARTWATCH	model head query
garmin vivoactive 6	TECH.WEARABLES	SMARTWATCH	lowercase model query
Huawei Watch GT 5 Pro	TECH.WEARABLES	SMARTWATCH	model head query
huawei watch gt 5 pro	TECH.WEARABLES	SMARTWATCH	lowercase model query
Huawei Watch GT 5	TECH.WEARABLES	SMARTWATCH	model head query
huawei watch gt 5	TECH.WEARABLES	SMARTWATCH	lowercase model query
Huawei Watch Fit 4	TECH.WEARABLES	FITNESS_TRACKER	model head query
huawei watch fit 4	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Huawei Watch Ultimate	TECH.WEARABLES	SMARTWATCH	model head query
huawei watch ultimate	TECH.WEARABLES	SMARTWATCH	lowercase model query
Huawei Watch Kids X1	TECH.WEARABLES	SMARTWATCH	model head query
huawei watch kids x1	TECH.WEARABLES	SMARTWATCH	lowercase model query
Xiaomi Smart Band 9	TECH.WEARABLES	FITNESS_TRACKER	model head query
xiaomi smart band 9	TECH.WEARABLES	FITNESS_TRACKER	lowercase model query
Redmi Watch 5	TECH.WEARABLES	SMARTWATCH	model head query
redmi watch 5	TECH.WEARABLES	SMARTWATCH	lowercase model query
Xiaomi Watch S4	TECH.WEARABLES	SMARTWATCH	model head query
xiaomi watch s4	TECH.WEARABLES	SMARTWATCH	lowercase model query
Amazfit Balance	TECH.WEARABLES	SMARTWATCH	model head query
amazfit balance	TECH.WEARABLES	SMARTWATCH	lowercase model query
Amazfit T-Rex 3	TECH.WEARABLES	SMARTWATCH	model head query
amazfit t-rex 3	TECH.WEARABLES	SMARTWATCH	lowercase model query
Amazfit Bip 6	TECH.WEARABLES	SMARTWATCH	model head query
amazfit bip 6	TECH.WEARABLES	SMARTWATCH	lowercase model query
Amazfit Active 2	TECH.WEARABLES	SMARTWATCH	model head query
