value_group	value_code	label_ru	tier	notes	status
wearable_type	SMARTWATCH	Smartwatch	head		active
wearable_type	FITNESS_TRACKER	Fitness Tracker	head		active
wearable_type	SMART_RING	Smart Ring	head		active
wearable_type	AR_GLASSES	Ar Glasses	head		active
wearable_type	WEARABLE_ACCESSORY	Wearable Accessory	head		active
wearable_type	WATCH_BAND	Watch Band	head		active
display_type	AMOLED	Amoled	head		active
display_type	OLED	Oled	head		active
display_type	MIP	Mip	head		active
display_type	LCD	Lcd	head		active
display_type	MICROLED	Microled	head		active
display_type	E_INK	E Ink	head		active
display_type	NONE	None	head		active
display_type	UNKNOWN	Unknown	head		active
connectivity	BLUETOOTH	Bluetooth	head		active
connectivity	WIFI	Wifi	head		active
connectivity	LTE	Lte	head		active
connectivity	NFC	Nfc	head		active
connectivity	GPS	Gps	head		active
connectivity	DUAL_FREQUENCY_GPS	Dual Frequency Gps	head		active
connectivity	UWB	Uwb	head		active
connectivity	ANT_PLUS	Ant Plus	head		active
connectivity	SATELLITE	Satellite	head		active
connectivity	NONE	None	head		active
compatible_os	IOS	Ios	head		active
compatible_os	ANDROID	Android	head		active
compatible_os	IOS_ANDROID	Ios Android	head		active
compatible_os	WATCH_ONLY	Watch Only	head		active
compatible_os	GARMIN_CONNECT	Garmin Connect	head		active
compatible_os	HUAWEI_HEALTH	Huawei Health	head		active
compatible_os	ZEPP	Zepp	head		active
compatible_os	FITBIT_APP	Fitbit App	head		active
compatible_os	NONE	None	head		active
compatible_os	UNKNOWN	Unknown	head		active
ecosystem	APPLE_WATCH	Apple Watch	head		active
ecosystem	SAMSUNG_GALAXY	Samsung Galaxy	head		active
ecosystem	GOOGLE_PIXEL_FITBIT	Google Pixel Fitbit	head		active
ecosystem	GARMIN	Garmin	head		active
ecosystem	HUAWEI	Huawei	head		active
ecosystem	XIAOMI	Xiaomi	head		active
ecosystem	AMAZFIT_ZEPP	Amazfit Zepp	head		active
ecosystem	POLAR	Polar	head		active
ecosystem	COROS	Coros	head		active
ecosystem	SUUNTO	Suunto	head		active
