wearable_type	facet	coverage_policy
SMARTWATCH	brand	primary
SMARTWATCH	condition	primary
SMARTWATCH	price	primary
SMARTWATCH	compatible_os	secondary
SMARTWATCH	connectivity_set	secondary
SMARTWATCH	battery_life_days	secondary
SMARTWATCH	case_size_mm	secondary
SMARTWATCH	display_type	secondary
SMARTWATCH	gps_support	secondary
SMARTWATCH	cellular_support	secondary
SMARTWATCH	health_feature_set	secondary
SMARTWATCH	water_resistance	secondary
SMARTWATCH	strap_width_mm	secondary
SMARTWATCH	ring_size	secondary
SMARTWATCH	ar_display_mode	secondary
FITNESS_TRACKER	brand	primary
FITNESS_TRACKER	condition	primary
FITNESS_TRACKER	price	primary
FITNESS_TRACKER	compatible_os	secondary
FITNESS_TRACKER	connectivity_set	secondary
FITNESS_TRACKER	battery_life_days	secondary
FITNESS_TRACKER	case_size_mm	secondary
FITNESS_TRACKER	display_type	secondary
FITNESS_TRACKER	gps_support	secondary
FITNESS_TRACKER	cellular_support	secondary
FITNESS_TRACKER	health_feature_set	secondary
FITNESS_TRACKER	water_resistance	secondary
FITNESS_TRACKER	strap_width_mm	secondary
FITNESS_TRACKER	ring_size	secondary
FITNESS_TRACKER	ar_display_mode	secondary
SMART_RING	brand	primary
SMART_RING	condition	primary
SMART_RING	price	primary
SMART_RING	compatible_os	secondary
SMART_RING	connectivity_set	secondary
SMART_RING	battery_life_days	secondary
SMART_RING	case_size_mm	hidden_if_empty
SMART_RING	display_type	hidden_if_empty
SMART_RING	gps_support	secondary
SMART_RING	cellular_support	secondary
SMART_RING	health_feature_set	secondary
SMART_RING	water_resistance	secondary
SMART_RING	strap_width_mm	hidden_if_empty
SMART_RING	ring_size	secondary
SMART_RING	ar_display_mode	hidden_if_empty
AR_GLASSES	brand	primary
AR_GLASSES	condition	primary
AR_GLASSES	price	primary
AR_GLASSES	compatible_os	secondary
AR_GLASSES	connectivity_set	secondary
AR_GLASSES	battery_life_days	secondary
AR_GLASSES	case_size_mm	secondary
AR_GLASSES	display_type	secondary
AR_GLASSES	gps_support	secondary
AR_GLASSES	cellular_support	secondary
AR_GLASSES	health_feature_set	hidden_if_empty
AR_GLASSES	water_resistance	secondary
AR_GLASSES	strap_width_mm	hidden_if_empty
AR_GLASSES	ring_size	hidden_if_empty
AR_GLASSES	ar_display_mode	secondary
WEARABLE_ACCESSORY	brand	primary
WEARABLE_ACCESSORY	condition	primary
WEARABLE_ACCESSORY	price	primary
WEARABLE_ACCESSORY	compatible_os	secondary
WEARABLE_ACCESSORY	connectivity_set	secondary
WEARABLE_ACCESSORY	battery_life_days	secondary
WEARABLE_ACCESSORY	case_size_mm	secondary
WEARABLE_ACCESSORY	display_type	secondary
WEARABLE_ACCESSORY	gps_support	secondary
WEARABLE_ACCESSORY	cellular_support	secondary
WEARABLE_ACCESSORY	health_feature_set	secondary
WEARABLE_ACCESSORY	water_resistance	secondary
WEARABLE_ACCESSORY	strap_width_mm	secondary
WEARABLE_ACCESSORY	ring_size	secondary
WEARABLE_ACCESSORY	ar_display_mode	secondary
WATCH_BAND	brand	primary
WATCH_BAND	condition	primary
WATCH_BAND	price	primary
WATCH_BAND	compatible_os	hidden_if_empty
WATCH_BAND	connectivity_set	secondary
WATCH_BAND	battery_life_days	hidden_if_empty
WATCH_BAND	case_size_mm	secondary
WATCH_BAND	display_type	hidden_if_empty
WATCH_BAND	gps_support	hidden_if_empty
WATCH_BAND	cellular_support	hidden_if_empty
WATCH_BAND	health_feature_set	hidden_if_empty
WATCH_BAND	water_resistance	secondary
WATCH_BAND	strap_width_mm	secondary
WATCH_BAND	ring_size	hidden_if_empty
WATCH_BAND	ar_display_mode	hidden_if_empty
