alias	brand	model	model_code	wearable_type	locale	rule
apple series 11	APPLE	Apple Watch Series 11	APPLE_WATCH_SERIES_11	SMARTWATCH	ru/en	generated_soft
apple вотч series 11	APPLE	Apple Watch Series 11	APPLE_WATCH_SERIES_11	SMARTWATCH	ru/en	generated_soft
aw series 11	APPLE	Apple Watch Series 11	APPLE_WATCH_SERIES_11	SMARTWATCH	ru/en	generated_soft
watch series 11	APPLE	Apple Watch Series 11	APPLE_WATCH_SERIES_11	SMARTWATCH	ru/en	generated_soft
эпл вотч series 11	APPLE	Apple Watch Series 11	APPLE_WATCH_SERIES_11	SMARTWATCH	ru/en	generated_soft
apple se 3	APPLE	Apple Watch SE 3	APPLE_WATCH_SE_3	SMARTWATCH	ru/en	generated_soft
apple вотч se 3	APPLE	Apple Watch SE 3	APPLE_WATCH_SE_3	SMARTWATCH	ru/en	generated_soft
aw se 3	APPLE	Apple Watch SE 3	APPLE_WATCH_SE_3	SMARTWATCH	ru/en	generated_soft
watch se 3	APPLE	Apple Watch SE 3	APPLE_WATCH_SE_3	SMARTWATCH	ru/en	generated_soft
эпл вотч se 3	APPLE	Apple Watch SE 3	APPLE_WATCH_SE_3	SMARTWATCH	ru/en	generated_soft
apple ultra 3	APPLE	Apple Watch Ultra 3	APPLE_WATCH_ULTRA_3	SMARTWATCH	ru/en	generated_soft
apple вотч ultra 3	APPLE	Apple Watch Ultra 3	APPLE_WATCH_ULTRA_3	SMARTWATCH	ru/en	generated_soft
aw ultra 3	APPLE	Apple Watch Ultra 3	APPLE_WATCH_ULTRA_3	SMARTWATCH	ru/en	generated_soft
watch ultra 3	APPLE	Apple Watch Ultra 3	APPLE_WATCH_ULTRA_3	SMARTWATCH	ru/en	generated_soft
эпл вотч ultra 3	APPLE	Apple Watch Ultra 3	APPLE_WATCH_ULTRA_3	SMARTWATCH	ru/en	generated_soft
apple series 10	APPLE	Apple Watch Series 10	APPLE_WATCH_SERIES_10	SMARTWATCH	ru/en	generated_soft
apple вотч series 10	APPLE	Apple Watch Series 10	APPLE_WATCH_SERIES_10	SMARTWATCH	ru/en	generated_soft
aw series 10	APPLE	Apple Watch Series 10	APPLE_WATCH_SERIES_10	SMARTWATCH	ru/en	generated_soft
watch series 10	APPLE	Apple Watch Series 10	APPLE_WATCH_SERIES_10	SMARTWATCH	ru/en	generated_soft
эпл вотч series 10	APPLE	Apple Watch Series 10	APPLE_WATCH_SERIES_10	SMARTWATCH	ru/en	generated_soft
apple ultra 2	APPLE	Apple Watch Ultra 2	APPLE_WATCH_ULTRA_2	SMARTWATCH	ru/en	generated_soft
