brand	family	line	model	wearable_type	release_year	seed_status	ecosystem	os	size_hint	connectivity_hint	popularity_tier
APPLE	APPLE_WATCH	SERIES	Apple Watch Series 11	SMARTWATCH	2025	HEAD	APPLE_WATCH	WATCHOS	42/46	BT/WIFI/LTE_OPTIONAL	A
APPLE	APPLE_WATCH	SE	Apple Watch SE 3	SMARTWATCH	2025	HEAD	APPLE_WATCH	WATCHOS	40/44	BT/WIFI/LTE_OPTIONAL	A
APPLE	APPLE_WATCH	ULTRA	Apple Watch Ultra 3	SMARTWATCH	2025	HEAD	APPLE_WATCH	WATCHOS	49	BT/WIFI/LTE	A
APPLE	APPLE_WATCH	SERIES	Apple Watch Series 10	SMARTWATCH	2024	HEAD	APPLE_WATCH	WATCHOS	42/46	BT/WIFI/LTE_OPTIONAL	A
APPLE	APPLE_WATCH	ULTRA	Apple Watch Ultra 2	SMARTWATCH	2023	HEAD	APPLE_WATCH	WATCHOS	49	BT/WIFI/LTE	A
APPLE	APPLE_WATCH	SERIES	Apple Watch Series 9	SMARTWATCH	2023	HEAD	APPLE_WATCH	WATCHOS	41/45	BT/WIFI/LTE_OPTIONAL	B
APPLE	APPLE_WATCH	SE	Apple Watch SE 2	SMARTWATCH	2022	HEAD	APPLE_WATCH	WATCHOS	40/44	BT/WIFI/LTE_OPTIONAL	B
SAMSUNG	GALAXY_WATCH	WATCH	Galaxy Watch8	SMARTWATCH	2025	HEAD	SAMSUNG_GALAXY	WEAR_OS	40/44	BT/WIFI/LTE_OPTIONAL	A
SAMSUNG	GALAXY_WATCH	CLASSIC	Galaxy Watch8 Classic	SMARTWATCH	2025	HEAD	SAMSUNG_GALAXY	WEAR_OS	46	BT/WIFI/LTE_OPTIONAL	A
SAMSUNG	GALAXY_WATCH	ULTRA	Galaxy Watch Ultra	SMARTWATCH	2025	HEAD	SAMSUNG_GALAXY	WEAR_OS	47	BT/WIFI/LTE	A
SAMSUNG	GALAXY_WATCH	WATCH	Galaxy Watch7	SMARTWATCH	2024	HEAD	SAMSUNG_GALAXY	WEAR_OS	40/44	BT/WIFI/LTE_OPTIONAL	A
SAMSUNG	GALAXY_WATCH	FE	Galaxy Watch FE	SMARTWATCH	2024	HEAD	SAMSUNG_GALAXY	WEAR_OS	40	BT/WIFI/LTE_OPTIONAL	B
SAMSUNG	GALAXY_WATCH	WATCH	Galaxy Watch6	SMARTWATCH	2023	HEAD	SAMSUNG_GALAXY	WEAR_OS	40/44	BT/WIFI/LTE_OPTIONAL	B
SAMSUNG	GALAXY_RING	RING	Galaxy Ring	SMART_RING	2024	HEAD	SAMSUNG_GALAXY	PROPRIETARY	ringsizes	BT	A
GOOGLE	PIXEL_WATCH	PIXEL	Google Pixel Watch 4	SMARTWATCH	2025	HEAD	GOOGLE_PIXEL_FITBIT	WEAR_OS	41/45	BT/WIFI/LTE_OPTIONAL	A
GOOGLE	PIXEL_WATCH	PIXEL	Google Pixel Watch 3	SMARTWATCH	2024	HEAD	GOOGLE_PIXEL_FITBIT	WEAR_OS	41/45	BT/WIFI/LTE_OPTIONAL	A
FITBIT	FITBIT	CHARGE	Fitbit Charge 6	FITNESS_TRACKER	2023	HEAD	GOOGLE_PIXEL_FITBIT	FITBIT_OS	one_size	BT/NFC/GPS	A
FITBIT	FITBIT	INSPIRE	Fitbit Inspire 3	FITNESS_TRACKER	2022	HEAD	GOOGLE_PIXEL_FITBIT	FITBIT_OS	one_size	BT	B
FITBIT	FITBIT	VERSA	Fitbit Versa 4	SMARTWATCH	2022	HEAD	GOOGLE_PIXEL_FITBIT	FITBIT_OS	one_size	BT/WIFI/GPS	B
FITBIT	FITBIT	SENSE	Fitbit Sense 2	SMARTWATCH	2022	HEAD	GOOGLE_PIXEL_FITBIT	FITBIT_OS	one_size	BT/WIFI/GPS	B
FITBIT	FITBIT	AIR	Google Fitbit Air	FITNESS_TRACKER	2026	HEAD	GOOGLE_PIXEL_FITBIT	FITBIT_APP	one_size	BT	A
GARMIN	FENIX	FENIX	Garmin Fenix 8	SMARTWATCH	2024	HEAD	GARMIN	GARMIN_OS	43/47/51	BT/WIFI/GPS	A
GARMIN	FORERUNNER	FORERUNNER	Garmin Forerunner 970	SMARTWATCH	2025	HEAD	GARMIN	GARMIN_OS	47	BT/WIFI/GPS	A
GARMIN	FORERUNNER	FORERUNNER	Garmin Forerunner 570	SMARTWATCH	2025	HEAD	GARMIN	GARMIN_OS	42/47	BT/WIFI/GPS	A
GARMIN	FORERUNNER	FORERUNNER	Garmin Forerunner 965	SMARTWATCH	2023	HEAD	GARMIN	GARMIN_OS	47	BT/WIFI/GPS	B
GARMIN	VENU	VENU	Garmin Venu X1	SMARTWATCH	2025	HEAD	GARMIN	GARMIN_OS	large	BT/WIFI/GPS	A
GARMIN	VENU	VENU	Garmin Venu 3	SMARTWATCH	2023	HEAD	GARMIN	GARMIN_OS	41/45	BT/WIFI/GPS	B
GARMIN	INSTINCT	INSTINCT	Garmin Instinct 3	SMARTWATCH	2025	HEAD	GARMIN	GARMIN_OS	45/50	BT/GPS/SOLAR	A
GARMIN	ENDURO	ENDURO	Garmin Enduro 3	SMARTWATCH	2024	HEAD	GARMIN	GARMIN_OS	51	BT/WIFI/GPS/SOLAR	B
GARMIN	LILY	LILY	Garmin Lily 2	SMARTWATCH	2024	HEAD	GARMIN	GARMIN_OS	35	BT	B
GARMIN	VIVOACTIVE	VIVOACTIVE	Garmin Vivoactive 6	SMARTWATCH	2025	HEAD	GARMIN	GARMIN_OS	42	BT/WIFI/GPS	B
HUAWEI	WATCH_GT	GT	Huawei Watch GT 5 Pro	SMARTWATCH	2024	HEAD	HUAWEI	HARMONYOS	42/46	BT/GPS	A
HUAWEI	WATCH_GT	GT	Huawei Watch GT 5	SMARTWATCH	2024	HEAD	HUAWEI	HARMONYOS	41/46	BT/GPS	B
HUAWEI	WATCH_FIT	FIT	Huawei Watch Fit 4	FITNESS_TRACKER	2025	HEAD	HUAWEI	HARMONYOS	one_size	BT/GPS	B
HUAWEI	WATCH_ULTIMATE	ULTIMATE	Huawei Watch Ultimate	SMARTWATCH	2023	HEAD	HUAWEI	HARMONYOS	48	BT/GPS	B
HUAWEI	WATCH_KIDS	KIDS	Huawei Watch Kids X1	SMARTWATCH	2026	HEAD	HUAWEI	HARMONYOS	kids	BT/WIFI/LTE/GPS	B
XIAOMI	MI_BAND	SMART_BAND	Xiaomi Smart Band 9	FITNESS_TRACKER	2024	HEAD	XIAOMI	PROPRIETARY	one_size	BT	A
XIAOMI	REDMI_WATCH	WATCH	Redmi Watch 5	SMARTWATCH	2024	HEAD	XIAOMI	PROPRIETARY	one_size	BT/GPS	B
XIAOMI	WATCH_S	WATCH	Xiaomi Watch S4	SMARTWATCH	2024	HEAD	XIAOMI	PROPRIETARY	one_size	BT/GPS	B
AMAZFIT	BALANCE	BALANCE	Amazfit Balance	SMARTWATCH	2023	HEAD	AMAZFIT_ZEPP	ZEPP_OS	one_size	BT/GPS	A
AMAZFIT	T_REX	T_REX	Amazfit T-Rex 3	SMARTWATCH	2024	HEAD	AMAZFIT_ZEPP	ZEPP_OS	one_size	BT/GPS	A
AMAZFIT	BIP	BIP	Amazfit Bip 6	SMARTWATCH	2025	HEAD	AMAZFIT_ZEPP	ZEPP_OS	one_size	BT/GPS	B
AMAZFIT	ACTIVE	ACTIVE	Amazfit Active 2	SMARTWATCH	2025	HEAD	AMAZFIT_ZEPP	ZEPP_OS	one_size	BT/GPS	B
AMAZFIT	HELIO	RING	Amazfit Helio Ring	SMART_RING	2024	HEAD	AMAZFIT_ZEPP	ZEPP_OS	ringsizes	BT	B
OURA	OURA_RING	RING	Oura Ring 4	SMART_RING	2024	HEAD	OURA	OURA_APP	ringsizes	BT	A
OURA	OURA_RING	RING	Oura Ring Gen 3	SMART_RING	2021	HEAD	OURA	OURA_APP	ringsizes	BT	B
WHOOP	WHOOP	BAND	Whoop 5.0	FITNESS_TRACKER	2025	HEAD	WHOOP	WHOOP_APP	band	BT	A
WHOOP	WHOOP	MG	Whoop MG	FITNESS_TRACKER	2025	HEAD	WHOOP	WHOOP_APP	band	BT	B
POLAR	VANTAGE	VANTAGE	Polar Vantage V3	SMARTWATCH	2023	HEAD	POLAR	PROPRIETARY	one_size	BT/GPS	B
POLAR	GRIT	GRIT	Polar Grit X2 Pro	SMARTWATCH	2024	HEAD	POLAR	PROPRIETARY	one_size	BT/GPS	B
POLAR	IGNITE	IGNITE	Polar Ignite 3	SMARTWATCH	2022	HEAD	POLAR	PROPRIETARY	one_size	BT/GPS	C
COROS	PACE	PACE	Coros Pace 3	SMARTWATCH	2023	HEAD	COROS	PROPRIETARY	one_size	BT/GPS	B
COROS	PACE	PACE	Coros Pace Pro	SMARTWATCH	2024	HEAD	COROS	PROPRIETARY	one_size	BT/GPS	B
COROS	APEX	APEX	Coros Apex 2 Pro	SMARTWATCH	2022	HEAD	COROS	PROPRIETARY	one_size	BT/GPS	C
COROS	VERTIX	VERTIX	Coros Vertix 2S	SMARTWATCH	2024	HEAD	COROS	PROPRIETARY	one_size	BT/GPS	B
SUUNTO	RACE	RACE	Suunto Race	SMARTWATCH	2023	HEAD	SUUNTO	PROPRIETARY	one_size	BT/GPS	B
SUUNTO	RACE	RACE	Suunto Race S	SMARTWATCH	2024	HEAD	SUUNTO	PROPRIETARY	one_size	BT/GPS	B
SUUNTO	VERTICAL	VERTICAL	Suunto Vertical	SMARTWATCH	2023	HEAD	SUUNTO	PROPRIETARY	one_size	BT/GPS/SOLAR	B
WITHINGS	SCANWATCH	SCANWATCH	Withings ScanWatch 2	SMARTWATCH	2023	HEAD	WITHINGS	PROPRIETARY	38/42	BT	B
META	RAY_BAN_META	SMART_GLASSES	Ray-Ban Meta Smart Glasses	AR_GLASSES	2023	HEAD	META_RAYBAN	PROPRIETARY	glasses	BT/WIFI/CAMERA	A
XREAL	AIR	XR_GLASSES	XREAL Air 2 Pro	AR_GLASSES	2023	HEAD	XREAL	PROPRIETARY	glasses	USB_C_DISPLAY	B
XREAL	AIR	XR_GLASSES	XREAL One	AR_GLASSES	2024	HEAD	XREAL	PROPRIETARY	glasses	USB_C_DISPLAY	B
HONOR	WATCH	WATCH	Honor Watch 5	SMARTWATCH	2024	HEAD	HONOR	PROPRIETARY	one_size	BT/GPS	C
