alias_id	locale	phrase	target_attribute	target_value	match_type	weight	note
compat_alias_00001	ru	совместим с	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00002	ru	совместима с	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00003	ru	совместимо с	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00004	ru	подходит для	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00005	ru	для	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00006	ru	на	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00007	ru	под	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00008	ru	к	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00009	en	for	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00010	en	compatible with	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00011	en	works with	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00012	en	fit for	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00013	en	fits	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00014	en	made for	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00015	en	designed for	compatibility_evidence_type	TITLE_EXPLICIT	normalized_phrase	0.90	compat phrase
compat_alias_00016	ru	точно для модели	compatibility_mode	EXACT_MODEL	normalized_phrase	0.88	mode alias
compat_alias_00017	ru	только для модели	compatibility_mode	EXACT_MODEL	normalized_phrase	0.88	mode alias
compat_alias_00018	en	for model	compatibility_mode	EXACT_MODEL	normalized_phrase	0.88	mode alias
compat_alias_00019	ru	под конкретную модель	compatibility_mode	EXACT_MODEL	normalized_phrase	0.88	mode alias
compat_alias_00020	ru	для моделей	compatibility_mode	MODEL_RANGE	normalized_phrase	0.88	mode alias
compat_alias_00021	ru	диапазон моделей	compatibility_mode	MODEL_RANGE	normalized_phrase	0.88	mode alias
compat_alias_00022	ru	серия моделей	compatibility_mode	MODEL_RANGE	normalized_phrase	0.88	mode alias
compat_alias_00023	ru	для серии	compatibility_mode	MODEL_FAMILY	normalized_phrase	0.88	mode alias
compat_alias_00024	ru	для линейки	compatibility_mode	MODEL_FAMILY	normalized_phrase	0.88	mode alias
compat_alias_00025	ru	для семейства	compatibility_mode	MODEL_FAMILY	normalized_phrase	0.88	mode alias
compat_alias_00026	ru	разъём	compatibility_mode	CONNECTOR	normalized_phrase	0.88	mode alias
compat_alias_00027	ru	разъем	compatibility_mode	CONNECTOR	normalized_phrase	0.88	mode alias
compat_alias_00028	en	connector	compatibility_mode	CONNECTOR	normalized_phrase	0.88	mode alias
compat_alias_00029	ru	порт	compatibility_mode	CONNECTOR	normalized_phrase	0.88	mode alias
compat_alias_00030	ru	штекер	compatibility_mode	CONNECTOR	normalized_phrase	0.88	mode alias
compat_alias_00031	ru	протокол	compatibility_mode	PROTOCOL	normalized_phrase	0.88	mode alias
compat_alias_00032	en	standard	compatibility_mode	PROTOCOL	normalized_phrase	0.88	mode alias
compat_alias_00033	ru	стандарт	compatibility_mode	PROTOCOL	normalized_phrase	0.88	mode alias
compat_alias_00034	en	bluetooth	compatibility_mode	PROTOCOL	normalized_phrase	0.88	mode alias
compat_alias_00035	en	wifi	compatibility_mode	PROTOCOL	normalized_phrase	0.88	mode alias
compat_alias_00036	en	для windows	compatibility_mode	PLATFORM	normalized_phrase	0.88	mode alias
compat_alias_00037	en	для macos	compatibility_mode	PLATFORM	normalized_phrase	0.88	mode alias
compat_alias_00038	en	для android	compatibility_mode	PLATFORM	normalized_phrase	0.88	mode alias
compat_alias_00039	en	для ios	compatibility_mode	PLATFORM	normalized_phrase	0.88	mode alias
compat_alias_00040	ru	размер	compatibility_mode	SIZE_FORM_FACTOR	normalized_phrase	0.88	mode alias
compat_alias_00041	ru	диагональ	compatibility_mode	SIZE_FORM_FACTOR	normalized_phrase	0.88	mode alias
compat_alias_00042	ru	форм фактор	compatibility_mode	SIZE_FORM_FACTOR	normalized_phrase	0.88	mode alias
compat_alias_00043	ru	посадка	compatibility_mode	SIZE_FORM_FACTOR	normalized_phrase	0.88	mode alias
compat_alias_00044	ru	напряжение	compatibility_mode	VOLTAGE_POWER	normalized_phrase	0.88	mode alias
compat_alias_00045	ru	вольт	compatibility_mode	VOLTAGE_POWER	normalized_phrase	0.88	mode alias
compat_alias_00046	ru	ватт	compatibility_mode	VOLTAGE_POWER	normalized_phrase	0.88	mode alias
compat_alias_00047	en	watt	compatibility_mode	VOLTAGE_POWER	normalized_phrase	0.88	mode alias
compat_alias_00048	en	volt	compatibility_mode	VOLTAGE_POWER	normalized_phrase	0.88	mode alias
