query	expected_category_code	expected_target_category_code	expected_compatibility_mode	expected_fields	negative_assertions	priority	notes_ru
чехол для iphone 13	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_brand=APPLE;compatible_model_text=iPhone 13	not TECH.PHONES	100	
стекло на samsung s24 ultra	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_brand=SAMSUNG;compatible_model_text=Samsung S24 Ultra	not TECH.PHONES	100	
кабель usb-c для pixel 9	TECH.PHONE_ACCESSORIES	TECH.PHONES	CONNECTOR	compatible_connector_type=USB_C;compatible_model_text=Pixel 9	not TECH.PHONES	100	
зарядка type c 65w	TECH.POWER_CHARGING_CABLES	TECH.POWER_CHARGING_CABLES	CONNECTOR	compatible_connector_type=USB_C;wattage_max_w=65	not TECH.PHONE_ACCESSORIES	100	
ремешок apple watch 45 мм	TECH.WEARABLES	TECH.WEARABLES	SIZE_FORM_FACTOR	compatible_brand=APPLE;case_size_mm=45	not FASH.ACCESSORIES	100	
тонер для hp laserjet 1020	TECH.PRINTERS_SCANNERS	TECH.PRINTERS_SCANNERS	CONSUMABLE_FIT	compatible_brand=HP;compatible_model_text=LaserJet 1020		100	
объектив sony e mount 50mm	TECH.CAMERAS_DRONES	TECH.CAMERAS_DRONES	MOUNT	lens_mount=SONY_E		100	
кулер lga1700	TECH.PC_COMPONENTS	TECH.PC_COMPONENTS	SIZE_FORM_FACTOR	socket_type=INTEL_LGA1700		100	
hdmi 2.1 кабель для ps5	TECH.POWER_CHARGING_CABLES	TECH.GAMING	PROTOCOL	protocol_standard=HDMI_2_1;compatible_model_text=PS5	not TECH.GAMING	100	
iphone 13	TECH.PHONES				not TECH.PHONE_ACCESSORIES	100	
apple watch series 9	TECH.WEARABLES				not FASH.ACCESSORIES	100	
чехол для iphone 11	TECH.PHONE_ACCESSORIES	TECH.PHONES	EXACT_MODEL	compatible_model_text=iphone 11	not target_device_category_when_accessory	70	generated
