attribute_code	value_code	label_ru	description_ru	is_head	priority	aliases_seeded
compatibility_mode	EXACT_MODEL	Exact Model	Head value for compatibility_mode: EXACT_MODEL	true	1	true
compatibility_mode	MODEL_RANGE	Model Range	Head value for compatibility_mode: MODEL_RANGE	true	2	true
compatibility_mode	MODEL_FAMILY	Model Family	Head value for compatibility_mode: MODEL_FAMILY	true	3	true
compatibility_mode	BRAND_ECOSYSTEM	Brand Ecosystem	Head value for compatibility_mode: BRAND_ECOSYSTEM	true	4	true
compatibility_mode	CONNECTOR	Connector	Head value for compatibility_mode: CONNECTOR	true	5	true
compatibility_mode	PROTOCOL	Protocol	Head value for compatibility_mode: PROTOCOL	true	6	true
compatibility_mode	PLATFORM	Platform	Head value for compatibility_mode: PLATFORM	true	7	true
compatibility_mode	SIZE_FORM_FACTOR	Size Form Factor	Head value for compatibility_mode: SIZE_FORM_FACTOR	true	8	true
compatibility_mode	VOLTAGE_POWER	Voltage Power	Head value for compatibility_mode: VOLTAGE_POWER	true	9	true
compatibility_mode	MOUNT	Mount	Head value for compatibility_mode: MOUNT	true	10	true
compatibility_mode	REGION_LOCKED	Region Locked	Head value for compatibility_mode: REGION_LOCKED	true	11	true
compatibility_mode	SOFTWARE_VERSION	Software Version	Head value for compatibility_mode: SOFTWARE_VERSION	true	12	true
compatibility_mode	CONSUMABLE_FIT	Consumable Fit	Head value for compatibility_mode: CONSUMABLE_FIT	true	13	true
compatibility_mode	UNIVERSAL	Universal	Head value for compatibility_mode: UNIVERSAL	true	14	true
compatibility_mode	UNKNOWN	Unknown	Head value for compatibility_mode: UNKNOWN	true	15	true
compatibility_scope	SINGLE_MODEL	Single Model	Head value for compatibility_scope: SINGLE_MODEL	true	16	true
compatibility_scope	MODEL_RANGE	Model Range	Head value for compatibility_scope: MODEL_RANGE	true	17	true
compatibility_scope	FAMILY	Family	Head value for compatibility_scope: FAMILY	true	18	true
compatibility_scope	LINE	Line	Head value for compatibility_scope: LINE	true	19	true
compatibility_scope	BRAND	Brand	Head value for compatibility_scope: BRAND	true	20	true
compatibility_scope	ECOSYSTEM	Ecosystem	Head value for compatibility_scope: ECOSYSTEM	true	21	true
compatibility_scope	PLATFORM	Platform	Head value for compatibility_scope: PLATFORM	true	22	true
compatibility_scope	CONNECTOR_OR_PROTOCOL	Connector Or Protocol	Head value for compatibility_scope: CONNECTOR_OR_PROTOCOL	true	23	true
compatibility_scope	UNIVERSAL	Universal	Head value for compatibility_scope: UNIVERSAL	true	24	true
compatible_target_category_code	TECH.PHONES	Tech.Phones	Head value for compatible_target_category_code: TECH.PHONES	true	25	true
compatible_target_category_code	TECH.PHONE_ACCESSORIES	Tech.Phone Accessories	Head value for compatible_target_category_code: TECH.PHONE_ACCESSORIES	true	26	true
compatible_target_category_code	TECH.COMPUTERS	Tech.Computers	Head value for compatible_target_category_code: TECH.COMPUTERS	true	27	true
compatible_target_category_code	TECH.TABLETS_E_READERS	Tech.Tablets E Readers	Head value for compatible_target_category_code: TECH.TABLETS_E_READERS	true	28	true
compatible_target_category_code	TECH.MONITORS_DISPLAYS	Tech.Monitors Displays	Head value for compatible_target_category_code: TECH.MONITORS_DISPLAYS	true	29	true
compatible_target_category_code	TECH.COMPUTER_ACCESSORIES	Tech.Computer Accessories	Head value for compatible_target_category_code: TECH.COMPUTER_ACCESSORIES	true	30	true
