alias	canonical_kind	canonical_value	locale	confidence	positive_context	negative_context	route_hint	notes
Apple	brand	APPLE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
эпл	brand	APPLE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
аппл	brand	APPLE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Samsung	brand	SAMSUNG	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
самсунг	brand	SAMSUNG	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Xiaomi	brand	XIAOMI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
сяоми	brand	XIAOMI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ксяоми	brand	XIAOMI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Redmi	brand	REDMI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
редми	brand	REDMI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
POCO	brand	POCO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
поко	brand	POCO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
pocophone	brand	POCO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Google	brand	GOOGLE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
гугл	brand	GOOGLE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Huawei	brand	HUAWEI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
хуавей	brand	HUAWEI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Honor	brand	HONOR	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
хонор	brand	HONOR	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
OPPO	brand	OPPO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
оппо	brand	OPPO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
vivo	brand	VIVO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
виво	brand	VIVO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
OnePlus	brand	ONEPLUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ванплас	brand	ONEPLUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
one plus	brand	ONEPLUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
realme	brand	REALME	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
реалми	brand	REALME	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Nokia	brand	NOKIA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
нокиа	brand	NOKIA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Motorola	brand	MOTOROLA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
моторола	brand	MOTOROLA	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Sony	brand	SONY	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
сони	brand	SONY	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
LG	brand	LG	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
элджи	brand	LG	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Lenovo	brand	LENOVO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
леново	brand	LENOVO	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
HP	brand	HP	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
hewlett packard	brand	HP	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ашпи	brand	HP	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Dell	brand	DELL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
делл	brand	DELL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ASUS	brand	ASUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
асус	brand	ASUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Acer	brand	ACER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
эйсер	brand	ACER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
MSI	brand	MSI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
эмэсай	brand	MSI	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Microsoft	brand	MICROSOFT	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
майкрософт	brand	MICROSOFT	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Razer	brand	RAZER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
рейзер	brand	RAZER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Logitech	brand	LOGITECH	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
лоджитек	brand	LOGITECH	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Anker	brand	ANKER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
анкер	brand	ANKER	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Baseus	brand	BASEUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
басеус	brand	BASEUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
базеус	brand	BASEUS	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Belkin	brand	BELKIN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
белкин	brand	BELKIN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
UGREEN	brand	UGREEN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
югрин	brand	UGREEN	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
TP-Link	brand	TP_LINK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
tp link	brand	TP_LINK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
тп линк	brand	TP_LINK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
ASRock	brand	ASROCK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
асрок	brand	ASROCK	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Gigabyte	brand	GIGABYTE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
гигабайт	brand	GIGABYTE	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
Intel	brand	INTEL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
интел	brand	INTEL	ru-RU	0.95	tech product title, vendor attrs, OCR logo			brand head alias
