alias	locale	target_kind	target_code	confidence	priority	negative_context	notes_ru
электроника	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
техника	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
гаджет	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
гаджеты	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
девайс	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
устройство	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
цифровая техника	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
электронное устройство	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
бытовая электроника	ru	shared_standard	TECH.ELECTRONICS_COMMON	0.93	90	одежда|обувь|мебель|посуда	General TECH indicator
эппл	ru	value	brand:APPLE	0.89	70		Alias for brand=APPLE
апл	ru	value	brand:APPLE	0.89	70		Alias for brand=APPLE
айфон бренд	ru	value	brand:APPLE	0.89	70		Alias for brand=APPLE
mac	ru	value	brand:APPLE	0.89	70		Alias for brand=APPLE
мак	ru	value	brand:APPLE	0.89	70		Alias for brand=APPLE
самсунг	ru	value	brand:SAMSUNG	0.89	70		Alias for brand=SAMSUNG
самс	ru	value	brand:SAMSUNG	0.89	70		Alias for brand=SAMSUNG
galaxy бренд	ru	value	brand:SAMSUNG	0.89	70		Alias for brand=SAMSUNG
сяоми	ru	value	brand:XIAOMI	0.89	70		Alias for brand=XIAOMI
ксиаоми	ru	value	brand:XIAOMI	0.89	70		Alias for brand=XIAOMI
mi	ru	value	brand:XIAOMI	0.89	70		Alias for brand=XIAOMI
redmi бренд	ru	value	brand:XIAOMI	0.89	70		Alias for brand=XIAOMI
poco бренд	ru	value	brand:XIAOMI	0.89	70		Alias for brand=XIAOMI
хуавей	ru	value	brand:HUAWEI	0.89	70		Alias for brand=HUAWEI
хуавэй	ru	value	brand:HUAWEI	0.89	70		Alias for brand=HUAWEI
honor old	ru	value	brand:HUAWEI	0.89	70		Alias for brand=HUAWEI
хонор	ru	value	brand:HONOR	0.89	70		Alias for brand=HONOR
сони	ru	value	brand:SONY	0.89	70		Alias for brand=SONY
лджи	ru	value	brand:LG	0.89	70		Alias for brand=LG
элджи	ru	value	brand:LG	0.89	70		Alias for brand=LG
леново	ru	value	brand:LENOVO	0.89	70		Alias for brand=LENOVO
hewlett packard	ru	value	brand:HP	0.89	70		Alias for brand=HP
эйчпи	ru	value	brand:HP	0.89	70		Alias for brand=HP
делл	ru	value	brand:DELL	0.89	70		Alias for brand=DELL
асус	ru	value	brand:ASUS	0.89	70		Alias for brand=ASUS
эйсер	ru	value	brand:ACER	0.89	70		Alias for brand=ACER
мси	ru	value	brand:MSI	0.89	70		Alias for brand=MSI
лоджитек	ru	value	brand:LOGITECH	0.89	70		Alias for brand=LOGITECH
джибиэль	ru	value	brand:JBL	0.89	70		Alias for brand=JBL
джибиел	ru	value	brand:JBL	0.89	70		Alias for brand=JBL
боуз	ru	value	brand:BOSE	0.89	70		Alias for brand=BOSE
кэнон	ru	value	brand:CANON	0.89	70		Alias for brand=CANON
кенон	ru	value	brand:CANON	0.89	70		Alias for brand=CANON
никон	ru	value	brand:NIKON	0.89	70		Alias for brand=NIKON
диджиай	ru	value	brand:DJI	0.89	70		Alias for brand=DJI
