attribute_code	role	value_type	cardinality	required_policy	usage_scope	value_source	ui_visibility	facet_usage	allowed_values_ref	validation_rule	notes_ru
brand	T0_CORE	string_normalized	single	soft_required	all_tech_public_categories	head_brand_values + runtime_candidates	initial	primary	values.tech_electronics_common.v1_0.tsv#brand	non_empty_if_present; normalize aliases; keep raw if low confidence	Бренд как общий признак; не является model registry.
manufacturer	T0_CORE	string_normalized	single	optional	all_tech_public_categories	head_brand_values + runtime_candidates	expanded	secondary	values.tech_electronics_common.v1_0.tsv#brand	may_equal_brand; keep unknown	Производитель/вендор, если отличается от бренда.
condition	T0_CORE	enum	single	required_on_publish	all_tech_public_categories	head_values	initial	primary	values.tech_electronics_common.v1_0.tsv#condition	enum_required; no_free_text	Состояние товара.
color_family	T0_CORE	enum	single	soft_required	all_tech_public_categories	head_values	initial	primary	values.tech_electronics_common.v1_0.tsv#color_family	enum_or_UNKNOWN; multicolor allowed	Нормализованная цветовая семья.
release_year	T0_CORE	integer	single	optional	all_tech_public_categories	extracted_or_runtime_candidate	initial	secondary		range:1970..current_year+1	Год выпуска/релиза, если указан или надёжно известен из public category pack.
warranty_status	T0_CORE	enum	single	soft_required	all_tech_public_categories	head_values	initial	primary	values.tech_electronics_common.v1_0.tsv#warranty_status	enum_or_UNKNOWN	Статус гарантии.
region	T0_CORE	enum	single	soft_required	all_tech_public_categories	head_values	initial	secondary	values.tech_electronics_common.v1_0.tsv#region	enum_or_UNKNOWN	Регион продажи/рынка, если влияет на комплектацию, вилку, язык, гарантию.
country_version	T0_CORE	enum	single	optional	all_tech_public_categories	head_values	expanded	secondary	values.tech_electronics_common.v1_0.tsv#country_version	enum_or_UNKNOWN	Версия/вариант для страны/рынка без привязки к model registry.
included_accessories	T1_TYPE_RELEVANT	enum	multi	optional	all_tech_public_categories	head_values + runtime_candidates	initial	primary	values.tech_electronics_common.v1_0.tsv#included_accessories	multi_enum; NONE mutually exclusive	Комплектация: коробка, кабель, зарядка, пульт и т.п.
seller_bundle	T1_TYPE_RELEVANT	boolean	single	optional	all_tech_public_categories	boolean	initial	secondary		boolean	Продавец продаёт набор/комплект нескольких предметов.
original_box	T1_TYPE_RELEVANT	enum	single	optional	all_tech_public_categories	head_values	initial	secondary	values.tech_electronics_common.v1_0.tsv#original_box	enum_or_UNKNOWN	Оригинальная упаковка/коробка.
refurbished_status	T1_TYPE_RELEVANT	enum	single	optional	all_tech_public_categories	head_values	expanded	primary	values.tech_electronics_common.v1_0.tsv#refurbished_status	enum_or_UNKNOWN	Статус восстановления/refurbished.
repair_history	T1_TYPE_RELEVANT	enum	multi	optional	all_tech_public_categories	head_values + runtime_candidates	expanded	secondary	values.tech_electronics_common.v1_0.tsv#repair_history	multi_enum; UNKNOWN allowed	История ремонта, если продавец указал.
cosmetic_condition_grade	T1_TYPE_RELEVANT	enum	single	optional	used/refurbished flows	head_values	expanded	primary	values.tech_electronics_common.v1_0.tsv#cosmetic_condition_grade	enum_or_UNKNOWN	Косметическое состояние.
