attribute_code	value_code	label_ru	aliases_ru	status	sort_order	usage_scope	notes_ru
brand	APPLE	Apple	эппл|апл|айфон бренд|mac|мак	HEAD	1	TECH.ELECTRONICS_COMMON	Head brand only; model registry excluded.
brand	SAMSUNG	Samsung	самсунг|самс|galaxy бренд	HEAD	2	TECH.ELECTRONICS_COMMON	Head brand only.
brand	XIAOMI	Xiaomi	сяоми|ксиаоми|mi|redmi бренд|poco бренд	HEAD	3	TECH.ELECTRONICS_COMMON	Head brand only.
brand	HUAWEI	Huawei	хуавей|хуавэй|honor old	HEAD	4	TECH.ELECTRONICS_COMMON	Head brand only.
brand	HONOR	Honor	хонор	HEAD	5	TECH.ELECTRONICS_COMMON	Head brand only.
brand	SONY	Sony	сони	HEAD	6	TECH.ELECTRONICS_COMMON	Head brand only.
brand	LG	LG	лджи|элджи	HEAD	7	TECH.ELECTRONICS_COMMON	Head brand only.
brand	LENOVO	Lenovo	леново	HEAD	8	TECH.ELECTRONICS_COMMON	Head brand only.
brand	HP	HP	hewlett packard|эйчпи	HEAD	9	TECH.ELECTRONICS_COMMON	Head brand only.
brand	DELL	Dell	делл	HEAD	10	TECH.ELECTRONICS_COMMON	Head brand only.
brand	ASUS	ASUS	асус	HEAD	11	TECH.ELECTRONICS_COMMON	Head brand only.
brand	ACER	Acer	эйсер	HEAD	12	TECH.ELECTRONICS_COMMON	Head brand only.
brand	MSI	MSI	мси	HEAD	13	TECH.ELECTRONICS_COMMON	Head brand only.
brand	LOGITECH	Logitech	лоджитек	HEAD	14	TECH.ELECTRONICS_COMMON	Head brand only.
brand	JBL	JBL	джибиэль|джибиел	HEAD	15	TECH.ELECTRONICS_COMMON	Head brand only.
brand	BOSE	Bose	боуз	HEAD	16	TECH.ELECTRONICS_COMMON	Head brand only.
brand	CANON	Canon	кэнон|кенон	HEAD	17	TECH.ELECTRONICS_COMMON	Head brand only.
brand	NIKON	Nikon	никон	HEAD	18	TECH.ELECTRONICS_COMMON	Head brand only.
brand	DJI	DJI	диджиай	HEAD	19	TECH.ELECTRONICS_COMMON	Head brand only.
brand	GOPRO	GoPro	гоу про|гоупро	HEAD	20	TECH.ELECTRONICS_COMMON	Head brand only.
brand	TP_LINK	TP-Link	тп линк|tp link|tplink	HEAD	21	TECH.ELECTRONICS_COMMON	Head brand only.
brand	OTHER	Другой бренд	другой|noname|no name	HEAD	22	TECH.ELECTRONICS_COMMON	Use with raw brand text.
brand	UNKNOWN	Неизвестно	без бренда|не указан	HEAD	23	TECH.ELECTRONICS_COMMON	Unknown brand.
condition	NEW	Новое	новый|новая|запечатан|sealed|в пленке|не вскрывался	HEAD	1	TECH.ELECTRONICS_COMMON	Factory new.
condition	OPEN_BOX	Открытая коробка	open box|открытая коробка|коробка вскрыта|витринный	HEAD	2	TECH.ELECTRONICS_COMMON	Unused/open packaging.
condition	USED_LIKE_NEW	Б/у как новое	как новый|как новая|идеальное состояние|без следов	HEAD	3	TECH.ELECTRONICS_COMMON	Used but near mint.
condition	USED_GOOD	Б/у хорошее	хорошее состояние|есть следы|нормальное состояние	HEAD	4	TECH.ELECTRONICS_COMMON	Used good.
condition	USED_FAIR	Б/у удовлетворительное	потертости|царапины|сильно б/у	HEAD	5	TECH.ELECTRONICS_COMMON	Used fair.
condition	USED_FOR_PARTS	На запчасти	на запчасти|не включается|донор|разбор	HEAD	6	TECH.ELECTRONICS_COMMON	Parts only.
condition	REFURBISHED_MANUFACTURER	Восстановлен производителем	официально восстановлен|manufacturer refurbished	HEAD	7	TECH.ELECTRONICS_COMMON	Manufacturer refurb.
condition	REFURBISHED_SELLER	Восстановлен продавцом	refurbished|восстановленный|реф|рефаб	HEAD	8	TECH.ELECTRONICS_COMMON	Seller refurb.
condition	UNKNOWN	Неизвестно	состояние не указано	HEAD	9	TECH.ELECTRONICS_COMMON	Unknown.
color_family	BLACK	Чёрный	черный|чёрная|black|space black|графит если продавец указал	HEAD	1	TECH.ELECTRONICS_COMMON	Common color.
color_family	WHITE	Белый	white|белая|snow	HEAD	2	TECH.ELECTRONICS_COMMON	Common color.
color_family	SILVER	Серебристый	silver|серебро	HEAD	3	TECH.ELECTRONICS_COMMON	Common color.
color_family	GRAY	Серый	grey|gray|графит|space gray|серый	HEAD	4	TECH.ELECTRONICS_COMMON	Common color.
color_family	GOLD	Золотой	gold|золото|champagne	HEAD	5	TECH.ELECTRONICS_COMMON	Common color.
color_family	ROSE_GOLD	Розовое золото	rose gold|розовый голд	HEAD	6	TECH.ELECTRONICS_COMMON	Common color.
color_family	BLUE	Синий	blue|голубой|navy	HEAD	7	TECH.ELECTRONICS_COMMON	Common color.
color_family	RED	Красный	red|бордовый	HEAD	8	TECH.ELECTRONICS_COMMON	Common color.
color_family	GREEN	Зелёный	green|mint|olive	HEAD	9	TECH.ELECTRONICS_COMMON	Common color.
color_family	PURPLE	Фиолетовый	purple|lavender|фиолетовый	HEAD	10	TECH.ELECTRONICS_COMMON	Common color.
color_family	PINK	Розовый	pink|rose	HEAD	11	TECH.ELECTRONICS_COMMON	Common color.
color_family	YELLOW	Жёлтый	yellow	HEAD	12	TECH.ELECTRONICS_COMMON	Common color.
color_family	ORANGE	Оранжевый	orange	HEAD	13	TECH.ELECTRONICS_COMMON	Common color.
color_family	BROWN	Коричневый	brown|coffee	HEAD	14	TECH.ELECTRONICS_COMMON	Common color.
color_family	BEIGE	Бежевый	beige|cream	HEAD	15	TECH.ELECTRONICS_COMMON	Common color.
color_family	TRANSPARENT	Прозрачный	transparent|clear|прозрачный	HEAD	16	TECH.ELECTRONICS_COMMON	For cases/covers; still common.
color_family	MULTICOLOR	Многоцветный	multicolor|rainbow|цветной	HEAD	17	TECH.ELECTRONICS_COMMON	Multi-color.
color_family	OTHER	Другой	другой цвет	HEAD	18	TECH.ELECTRONICS_COMMON	Use with color_vendor_text.
color_family	UNKNOWN	Неизвестно	цвет не указан	HEAD	19	TECH.ELECTRONICS_COMMON	Unknown.
warranty_status	MANUFACTURER_WARRANTY_ACTIVE	Гарантия производителя активна	на гарантии|официальная гарантия|гарантия производителя	HEAD	1	TECH.ELECTRONICS_COMMON	Active manufacturer warranty.
warranty_status	SELLER_WARRANTY	Гарантия продавца	гарантия магазина|гарантия продавца	HEAD	2	TECH.ELECTRONICS_COMMON	Seller warranty.
warranty_status	IMPORTER_WARRANTY	Гарантия импортёра	гарантия импортера|гарантия поставщика	HEAD	3	TECH.ELECTRONICS_COMMON	Importer warranty.
warranty_status	EXPIRED	Гарантия истекла	гарантия закончилась|без гарантии потому что истекла	HEAD	4	TECH.ELECTRONICS_COMMON	Expired.
warranty_status	NO_WARRANTY	Без гарантии	нет гарантии|без гарантии	HEAD	5	TECH.ELECTRONICS_COMMON	No warranty.
warranty_status	UNKNOWN	Неизвестно	не знаю гарантию|не указано	HEAD	6	TECH.ELECTRONICS_COMMON	Unknown.
region	GLOBAL	Глобальная версия	global|global version|международная версия	HEAD	1	TECH.ELECTRONICS_COMMON	General global region.
region	EU	Европа	eu|europe|евро версия|европейская версия	HEAD	2	TECH.ELECTRONICS_COMMON	EU market.
region	US	США	usa|us|американская версия	HEAD	3	TECH.ELECTRONICS_COMMON	US market.
region	UK	Великобритания	uk|британская версия	HEAD	4	TECH.ELECTRONICS_COMMON	UK market.
region	CN	Китай	china|cn|китайская версия	HEAD	5	TECH.ELECTRONICS_COMMON	CN market.
region	JP	Япония	japan|jp|японская версия	HEAD	6	TECH.ELECTRONICS_COMMON	JP market.
region	KR	Корея	korea|kr|корейская версия	HEAD	7	TECH.ELECTRONICS_COMMON	KR market.
region	RU	Россия	российская версия|ростест|eac	HEAD	8	TECH.ELECTRONICS_COMMON	RU/EAC market.
region	IN	Индия	india|индийская версия	HEAD	9	TECH.ELECTRONICS_COMMON	IN market.
region	OTHER	Другой регион	другой регион	HEAD	10	TECH.ELECTRONICS_COMMON	Other.
region	UNKNOWN	Неизвестно	регион не указан	HEAD	11	TECH.ELECTRONICS_COMMON	Unknown.
country_version	GLOBAL_VERSION	Global version	global version|глобалка	HEAD	1	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	EU_VERSION	EU version	eu version|евроверсия	HEAD	2	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	US_VERSION	US version	us version|американец	HEAD	3	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	CN_VERSION	China version	china version|китаец	HEAD	4	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	JP_VERSION	Japan version	japan version|японец	HEAD	5	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	KR_VERSION	Korea version	korea version|кореец	HEAD	6	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	RU_VERSION	RU/EAC version	ростест|eac|русская версия	HEAD	7	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	UK_VERSION	UK version	британская версия	HEAD	8	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	IN_VERSION	India version	индийская версия	HEAD	9	TECH.ELECTRONICS_COMMON	Country/region version.
country_version	UNKNOWN	Unknown	неизвестно	HEAD	10	TECH.ELECTRONICS_COMMON	Unknown.
included_accessories	ORIGINAL_BOX	Оригинальная коробка	коробка|родная коробка|ориг коробка	HEAD	1	TECH.ELECTRONICS_COMMON	Packaging/accessory.
included_accessories	CHARGER	Зарядное устройство	зарядка|блок питания|адаптер питания	HEAD	2	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	CABLE	Кабель	провод|шнур|usb кабель	HEAD	3	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	MANUAL	Инструкция	мануал|документы	HEAD	4	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	RECEIPT	Чек	чек|накладная	HEAD	5	TECH.ELECTRONICS_COMMON	Document.
included_accessories	WARRANTY_CARD	Гарантийный талон	гарантийка|талон	HEAD	6	TECH.ELECTRONICS_COMMON	Document.
included_accessories	REMOTE_CONTROL	Пульт	пульт ду|remote	HEAD	7	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	STAND	Подставка	стойка|ножка	HEAD	8	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	CASE	Чехол	чехол|кейс	HEAD	9	TECH.ELECTRONICS_COMMON	Accessory in bundle; not category mapping.
included_accessories	ADAPTER	Переходник	адаптер|переходник	HEAD	10	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	BATTERY	Аккумулятор/батарея	акб|батарея	HEAD	11	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	STRAP	Ремешок	ремешок|strap	HEAD	12	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	MOUNT	Крепление	кронштейн|держатель	HEAD	13	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	DOCK	Док-станция	док|dock	HEAD	14	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	MEMORY_CARD	Карта памяти	sd карта|карта памяти	HEAD	15	TECH.ELECTRONICS_COMMON	Accessory.
included_accessories	BAG	Сумка/чехол для переноски	сумка|чехол сумка	HEAD	16	TECH.ELECTRONICS_COMMON	Bundle item; route category remains public target.
included_accessories	NONE	Без аксессуаров	без комплекта|только устройство|без ничего	HEAD	17	TECH.ELECTRONICS_COMMON	Mutually exclusive.
included_accessories	UNKNOWN	Неизвестно	комплект не указан	HEAD	18	TECH.ELECTRONICS_COMMON	Unknown.
original_box	YES_ORIGINAL	Есть оригинальная коробка	есть коробка|с коробкой|родная коробка	HEAD	1	TECH.ELECTRONICS_COMMON	
original_box	YES_NOT_ORIGINAL	Есть неоригинальная упаковка	не родная коробка|упаковка есть	HEAD	2	TECH.ELECTRONICS_COMMON	
original_box	NO	Без коробки	нет коробки|без коробки	HEAD	3	TECH.ELECTRONICS_COMMON	
original_box	DAMAGED	Коробка повреждена	мятая коробка|повреждена упаковка	HEAD	4	TECH.ELECTRONICS_COMMON	
original_box	UNKNOWN	Неизвестно	не указано	HEAD	5	TECH.ELECTRONICS_COMMON	
refurbished_status	NOT_REFURBISHED	Не восстановлен	не реф|не восстановленный	HEAD	1	TECH.ELECTRONICS_COMMON	Default if explicit new/used no refurb.
refurbished_status	MANUFACTURER_REFURBISHED	Восстановлен производителем	официально восстановлен|factory refurbished	HEAD	2	TECH.ELECTRONICS_COMMON	
refurbished_status	SELLER_REFURBISHED	Восстановлен продавцом	продавец восстановил|seller refurbished	HEAD	3	TECH.ELECTRONICS_COMMON	
refurbished_status	THIRD_PARTY_REFURBISHED	Восстановлен сервисом	в сервисе восстановлен|third party refurbished	HEAD	4	TECH.ELECTRONICS_COMMON	
refurbished_status	UNKNOWN	Неизвестно	реф не указан	HEAD	5	TECH.ELECTRONICS_COMMON	
repair_history	NO_REPAIR_DECLARED	Ремонт не заявлен	без ремонта|не ремонтировался	HEAD	1	TECH.ELECTRONICS_COMMON	
repair_history	SCREEN_REPLACED	Меняли экран	замена экрана|экран менялся	HEAD	2	TECH.ELECTRONICS_COMMON	
repair_history	BATTERY_REPLACED	Меняли аккумулятор/батарею	замена батареи|акб менялся	HEAD	3	TECH.ELECTRONICS_COMMON	
repair_history	BOARD_REPAIR	Ремонт платы	ремонт платы|пайка платы	HEAD	4	TECH.ELECTRONICS_COMMON	
repair_history	PORT_REPAIR	Ремонт разъёма/порта	ремонт порта|меняли разъем	HEAD	5	TECH.ELECTRONICS_COMMON	
repair_history	WATER_DAMAGE_REPAIR	Ремонт после влаги	залитие|после воды	HEAD	6	TECH.ELECTRONICS_COMMON	
repair_history	BODY_REPAIR	Ремонт корпуса	корпус менялся	HEAD	7	TECH.ELECTRONICS_COMMON	
repair_history	UNKNOWN	Неизвестно	не знаю ремонт	HEAD	8	TECH.ELECTRONICS_COMMON	
cosmetic_condition_grade	A_PLUS	A+ / как новое	a+|идеал	HEAD	1	TECH.ELECTRONICS_COMMON	
cosmetic_condition_grade	A	A / отличное	a grade|отличное	HEAD	2	TECH.ELECTRONICS_COMMON	
cosmetic_condition_grade	B	B / хорошее	b grade|хорошее	HEAD	3	TECH.ELECTRONICS_COMMON	
cosmetic_condition_grade	C	C / заметный износ	c grade|потертости	HEAD	4	TECH.ELECTRONICS_COMMON	
