alias	target_attribute	target_value	lang	weight	guard	notes
память	storage_capacity		ru	1.0		attribute_alias
встроенная память	storage_capacity		ru	1.0		attribute_alias
накопитель	storage_capacity		ru	1.0		attribute_alias
ssd объем	storage_capacity		ru	1.0		attribute_alias
жесткий диск	storage_capacity		ru	1.0		attribute_alias
rom	storage_capacity		ru	1.0		attribute_alias
пзу	storage_capacity		ru	1.0		attribute_alias
flash memory	storage_capacity		ru	1.0		attribute_alias
озу	ram_capacity		ru	1.0		attribute_alias
оперативка	ram_capacity		ru	1.0		attribute_alias
оперативная память	ram_capacity		ru	1.0		attribute_alias
ram	ram_capacity		ru	1.0		attribute_alias
память ram	ram_capacity		ru	1.0		attribute_alias
экран	screen_size		ru	1.0		attribute_alias
диагональ	screen_size		ru	1.0		attribute_alias
дисплей	screen_size		ru	1.0		attribute_alias
дюймов	screen_size		ru	1.0		attribute_alias
дюйма	screen_size		ru	1.0		attribute_alias
разрешение	screen_resolution		ru	1.0		attribute_alias
full hd	screen_resolution		ru	1.0		attribute_alias
4к	screen_resolution		ru	1.0		attribute_alias
8к	screen_resolution		ru	1.0		attribute_alias
retina	screen_resolution		ru	1.0		attribute_alias
qhd	screen_resolution		ru	1.0		attribute_alias
герцовка	refresh_rate_hz		ru	1.0		attribute_alias
частота обновления	refresh_rate_hz		ru	1.0		attribute_alias
гц	refresh_rate_hz		ru	1.0		attribute_alias
hz	refresh_rate_hz		ru	1.0		attribute_alias
144 герца	refresh_rate_hz		ru	1.0		attribute_alias
аккумулятор	battery_capacity_mah		ru	1.0		attribute_alias
емкость батареи	battery_capacity_mah		ru	1.0		attribute_alias
mah	battery_capacity_mah		ru	1.0		attribute_alias
мач	battery_capacity_mah		ru	1.0		attribute_alias
мАч	battery_capacity_mah		ru	1.0		attribute_alias
батарея	battery_capacity_mah		ru	1.0		attribute_alias
wh	battery_capacity_wh		ru	1.0		attribute_alias
втч	battery_capacity_wh		ru	1.0		attribute_alias
вт·ч	battery_capacity_wh		ru	1.0		attribute_alias
ватт часов	battery_capacity_wh		ru	1.0		attribute_alias
мощность	power_watts		ru	1.0		attribute_alias
ватт	power_watts		ru	1.0		attribute_alias
w	power_watts		ru	1.0		attribute_alias
выходная мощность	power_watts		ru	1.0		attribute_alias
разъем	connector_type		ru	1.0		attribute_alias
порт	connector_type		ru	1.0		attribute_alias
интерфейс	connector_type		ru	1.0		attribute_alias
usb c	connector_type		ru	1.0		attribute_alias
type c	connector_type		ru	1.0		attribute_alias
hdmi	connector_type		ru	1.0		attribute_alias
lightning	connector_type		ru	1.0		attribute_alias
беспроводной	wireless_standard		ru	1.0		attribute_alias
wifi	wireless_standard		ru	1.0		attribute_alias
wi-fi	wireless_standard		ru	1.0		attribute_alias
bluetooth	wireless_standard		ru	1.0		attribute_alias
nfc	wireless_standard		ru	1.0		attribute_alias
5g	wireless_standard		ru	1.0		attribute_alias
ос	os_family		ru	1.0		attribute_alias
операционная система	os_family		ru	1.0		attribute_alias
android	os_family		ru	1.0		attribute_alias
ios	os_family		ru	1.0		attribute_alias
windows	os_family		ru	1.0		attribute_alias
macos	os_family		ru	1.0		attribute_alias
процессор	chipset_text		ru	1.0		attribute_alias
чипсет	chipset_text		ru	1.0		attribute_alias
soc	chipset_text		ru	1.0		attribute_alias
cpu	chipset_text		ru	1.0		attribute_alias
snapdragon	chipset_text		ru	1.0		attribute_alias
m-series	chipset_text		ru	1.0		attribute_alias
размеры	dimensions		ru	1.0		attribute_alias
габариты	dimensions		ru	1.0		attribute_alias
длина ширина высота	dimensions		ru	1.0		attribute_alias
вес	weight		ru	1.0		attribute_alias
масса	weight		ru	1.0		attribute_alias
кг	weight		ru	1.0		attribute_alias
грамм	weight		ru	1.0		attribute_alias
влагозащита	water_resistance		ru	1.0		attribute_alias
водозащита	water_resistance		ru	1.0		attribute_alias
ip68	water_resistance		ru	1.0		attribute_alias
ip67	water_resistance		ru	1.0		attribute_alias
atm	water_resistance		ru	1.0		attribute_alias
сеть	network_generation		ru	1.0		attribute_alias
5g	network_generation		ru	1.0		attribute_alias
lte	network_generation		ru	1.0		attribute_alias
4g	network_generation		ru	1.0		attribute_alias
ethernet	network_generation		ru	1.0		attribute_alias
версия bluetooth	bluetooth_version		ru	1.0		attribute_alias
bt version	bluetooth_version		ru	1.0		attribute_alias
bluetooth 5.3	bluetooth_version		ru	1.0		attribute_alias
wifi 6	wi_fi_standard		ru	1.0		attribute_alias
wi-fi 7	wi_fi_standard		ru	1.0		attribute_alias
вай фай 6	wi_fi_standard		ru	1.0		attribute_alias
тип накопителя	storage_type		ru	1.0		attribute_alias
ssd	storage_type		ru	1.0		attribute_alias
nvme	storage_type		ru	1.0		attribute_alias
hdd	storage_type		ru	1.0		attribute_alias
emmc	storage_type		ru	1.0		attribute_alias
матрица	panel_type		ru	1.0		attribute_alias
тип панели	panel_type		ru	1.0		attribute_alias
oled	panel_type		ru	1.0		attribute_alias
ips	panel_type		ru	1.0		attribute_alias
va	panel_type		ru	1.0		attribute_alias
быстрая зарядка	charging_standard		ru	1.0		attribute_alias
pd	charging_standard		ru	1.0		attribute_alias
power delivery	charging_standard		ru	1.0		attribute_alias
quick charge	charging_standard		ru	1.0		attribute_alias
qc	charging_standard		ru	1.0		attribute_alias
длина кабеля	cable_length_m		ru	1.0		attribute_alias
метра кабель	cable_length_m		ru	1.0		attribute_alias
кабель 2м	cable_length_m		ru	1.0		attribute_alias
скорость передачи	data_transfer_rate		ru	1.0		attribute_alias
gbps	data_transfer_rate		ru	1.0		attribute_alias
mb/s	data_transfer_rate		ru	1.0		attribute_alias
мб с	data_transfer_rate		ru	1.0		attribute_alias
неизвестно	spec_profile_status	UNKNOWN	ru	1.0		value_alias
unknown	spec_profile_status	UNKNOWN	ru	1.0		value_alias
не указано	spec_profile_status	UNKNOWN	ru	1.0		value_alias
