query	expected_route_hint	expected_shared_standard	expected_attrs_json	notes
iphone 13 128 гб аккумулятор 87%	TECH.PHONES	TECH.SPECS_COMMON	"{""battery_health_percent"": ""87"", ""storage_capacity"": ""128GB""}"	hand_selected
samsung galaxy 8/256 5g ip68	TECH.PHONES	TECH.SPECS_COMMON	"{""network_generation"": [""FIVE_G""], ""ram_capacity"": ""8GB"", ""storage_capacity"": ""256GB"", ""water_resistance"": ""IP68""}"	hand_selected
ноутбук 16 гб 512 ssd экран 15.6	TECH.COMPUTERS	TECH.SPECS_COMMON	"{""ram_capacity"": ""16GB"", ""screen_size"": ""IN_15_6"", ""storage_capacity"": ""512GB"", ""storage_type"": [""SSD""]}"	hand_selected
macbook air m2 8 256 battery cycles 120	TECH.COMPUTERS	TECH.SPECS_COMMON	"{""cycle_count"": ""120"", ""ram_capacity"": ""8GB"", ""storage_capacity"": ""256GB""}"	hand_selected
монитор 27 144 гц 2к ips	TECH.MONITORS_DISPLAYS	TECH.SPECS_COMMON	"{""panel_type"": ""IPS"", ""refresh_rate_hz"": ""144HZ"", ""screen_resolution"": ""QHD"", ""screen_size"": ""IN_27""}"	hand_selected
игровой монитор 32 4k 165hz hdr10	TECH.MONITORS_DISPLAYS	TECH.SPECS_COMMON	"{""hdr_standard"": [""HDR10""], ""refresh_rate_hz"": ""165HZ"", ""screen_resolution"": ""UHD_4K"", ""screen_size"": ""IN_32""}"	hand_selected
зарядка 65w usb c pd	TECH.POWER_CHARGING_CABLES	TECH.SPECS_COMMON	"{""charging_standard"": [""USB_PD""], ""connector_type"": [""USB_C""], ""power_watts"": ""65W""}"	hand_selected
кабель type c 2м 100w	TECH.POWER_CHARGING_CABLES	TECH.SPECS_COMMON	"{""cable_length_m"": ""2M"", ""connector_type"": [""USB_C""], ""power_watts"": ""100W""}"	hand_selected
power bank 20000 mah 22.5w	TECH.POWER_CHARGING_CABLES	TECH.SPECS_COMMON	"{""battery_capacity_mah"": ""20000"", ""power_watts"": ""22.5W""}"	hand_selected
наушники bluetooth 5.3 ipx4	TECH.AUDIO	TECH.SPECS_COMMON	"{""bluetooth_version"": ""BT_5_3"", ""water_resistance"": ""IPX4""}"	hand_selected
роутер wifi 6 gigabit 4 антенны	TECH.NETWORKING	TECH.SPECS_COMMON	"{""antenna_count"": ""4"", ""network_speed"": ""GIGABIT"", ""wi_fi_standard"": [""WIFI_6""]}"	hand_selected
камера видеонаблюдения 4k wifi ip67	TECH.SMART_HOME_SECURITY	TECH.SPECS_COMMON	"{""video_resolution"": [""UHD_4K""], ""water_resistance"": ""IP67"", ""wireless_standard"": [""WIFI""]}"	hand_selected
ssd nvme 1tb скорость чтения 3500 мб с	TECH.STORAGE_MEMORY	TECH.SPECS_COMMON	"{""read_speed_mbps"": ""3500"", ""storage_capacity"": ""1TB"", ""storage_type"": [""NVME_SSD""]}"	hand_selected
микрофон usb-c 24 бит 96 кГц	TECH.AUDIO	TECH.SPECS_COMMON	"{""connector_type"": [""USB_C""]}"	hand_selected
принтер лазерный wifi duplex	TECH.PRINTERS_SCANNERS	TECH.SPECS_COMMON	"{""print_technology"": ""LASER"", ""wireless_standard"": [""WIFI""]}"	hand_selected
видеорегистратор 4k gps wifi	TECH.CAR_ELECTRONICS_GPS	TECH.SPECS_COMMON	"{""video_resolution"": [""UHD_4K""], ""wireless_standard"": [""GPS"", ""WIFI""]}"	hand_selected
apple watch 44mm gps lte	TECH.WEARABLES	TECH.SPECS_COMMON	"{""network_generation"": [""LTE""], ""wireless_standard"": [""GPS""]}"	hand_selected
экшн камера 4k 60fps водозащита	TECH.CAMERAS_DRONES	TECH.SPECS_COMMON	"{""frame_rate_fps"": ""60"", ""video_resolution"": [""UHD_4K""]}"	hand_selected
игровая консоль 1tb 4k hdr	TECH.GAMING	TECH.SPECS_COMMON	"{""hdr_standard"": [""HDR10""], ""screen_resolution"": ""UHD_4K"", ""storage_capacity"": ""1TB""}"	hand_selected
смартфон 128 гб	TECH.PHONES	TECH.SPECS_COMMON	"{""storage_capacity"": ""128GB""}"	generated_head_spec_query
смартфон 256 гб	TECH.PHONES	TECH.SPECS_COMMON	"{""storage_capacity"": ""256GB""}"	generated_head_spec_query
смартфон 8 гб озу	TECH.PHONES	TECH.SPECS_COMMON	"{""ram_capacity"": ""8GB""}"	generated_head_spec_query
смартфон 5000 мач	TECH.PHONES	TECH.SPECS_COMMON	{}	generated_head_spec_query
смартфон 5g	TECH.PHONES	TECH.SPECS_COMMON	{}	generated_head_spec_query
смартфон ip68	TECH.PHONES	TECH.SPECS_COMMON	"{""water_resistance"": ""IP68""}"	generated_head_spec_query
смартфон 120 гц	TECH.PHONES	TECH.SPECS_COMMON	"{""refresh_rate_hz"": ""120HZ""}"	generated_head_spec_query
ноутбук 16 гб озу	TECH.COMPUTERS	TECH.SPECS_COMMON	"{""ram_capacity"": ""16GB""}"	generated_head_spec_query
ноутбук 512 ssd	TECH.COMPUTERS	TECH.SPECS_COMMON	"{""storage_capacity"": ""512GB""}"	generated_head_spec_query
