category_code	attribute_code	applicability	facet_recommended	required_policy	notes
TECH.PHONES	storage_capacity	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	ram_capacity	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	screen_size	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	screen_resolution	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	refresh_rate_hz	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	battery_capacity_mah	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	battery_capacity_wh	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	power_watts	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	connector_type	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	wireless_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	os_family	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	chipset_text	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	dimensions	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	weight	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	water_resistance	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	network_generation	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	bluetooth_version	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	wi_fi_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	storage_type	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	panel_type	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	charging_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	cable_length_m	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	data_transfer_rate	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	camera_resolution_mp	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	video_resolution	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	sensor_set	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	sim_support	recommended	true	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONES	poe_support	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	storage_capacity	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	ram_capacity	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	screen_size	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	screen_resolution	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	refresh_rate_hz	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	battery_capacity_mah	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	battery_capacity_wh	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	power_watts	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	connector_type	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	wireless_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	os_family	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	chipset_text	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	dimensions	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	weight	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	water_resistance	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	network_generation	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	bluetooth_version	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	wi_fi_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	storage_type	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	panel_type	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	charging_standard	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	cable_length_m	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	data_transfer_rate	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
TECH.PHONE_ACCESSORIES	camera_resolution_mp	optional	false	child_pack_may_promote_to_required	Common specs coverage matrix; final requirement resolved by public category pack.
