attribute_code	value_code	label_ru	label_en	aliases_ru	priority	status
spec_profile_status	UNKNOWN	неизвестно	Unknown	не указано;неизвестные характеристики	100	head
spec_profile_status	PARTIAL	частично заполнено	Partial	частично;неполные характеристики	99	head
spec_profile_status	NORMALIZED	нормализовано	Normalized	распознано;приведено	98	head
spec_profile_status	VERIFIED	проверено	Verified	подтверждено;верифицировано	97	head
spec_profile_status	CONFLICT	конфликт характеристик	Conflict	противоречие;спорные характеристики	96	head
spec_profile_status	REVIEW_REQUIRED	требует проверки	Review Required	нужна проверка;проверить характеристики	95	head
spec_confidence_bucket	LOW	низкая	Low		100	head
spec_confidence_bucket	MEDIUM	средняя	Medium		100	head
spec_confidence_bucket	HIGH	высокая	High		100	head
spec_confidence_bucket	VERIFIED	проверенная	Verified		100	head
spec_evidence_level	NONE	нет evidence	None		100	head
spec_evidence_level	TITLE	из названия	Title		100	head
spec_evidence_level	OCR	из OCR	Ocr		100	head
spec_evidence_level	SOURCE_ATTR	из атрибутов источника	Source Attr		100	head
spec_evidence_level	BARCODE_OR_MPN	из barcode/MPN	Barcode Or Mpn		100	head
spec_evidence_level	MANUAL_CONFIRMATION	подтверждено пользователем	Manual Confirmation		100	head
spec_evidence_level	OFFICIAL_SPEC	официальная спецификация	Official Spec		100	head
spec_source	USER_TITLE	название пользователя	User Title		100	head
spec_source	SELLER_ATTRIBUTES	атрибуты продавца	Seller Attributes		100	head
spec_source	SOURCE_PAGE	страница источника	Source Page		100	head
spec_source	IMAGE_OCR	OCR изображения	Image Ocr		100	head
spec_source	BARCODE	штрихкод	Barcode		100	head
spec_source	MANUAL	ручное подтверждение	Manual		100	head
spec_source	OFFICIAL_DATABASE	официальная база	Official Database		100	head
measurement_system	METRIC	метрическая	Metric		100	head
measurement_system	IMPERIAL	имперская	Imperial		100	head
measurement_system	MIXED	смешанная	Mixed		100	head
unit_normalization_status	NOT_PARSED	не распознано	Not Parsed		100	head
unit_normalization_status	PARSED	распознано	Parsed		100	head
unit_normalization_status	NORMALIZED	нормализовано	Normalized		100	head
unit_normalization_status	CONFLICT	конфликт единиц	Conflict		100	head
unit_normalization_status	AMBIGUOUS	неоднозначно	Ambiguous		100	head
storage_capacity	8GB	8 ГБ	8Gb	8gb;8 гб;8 гб	199	head
storage_capacity	16GB	16 ГБ	16Gb	16gb;16 гб;16 гб	198	head
storage_capacity	32GB	32 ГБ	32Gb	32gb;32 гб;32 гб	196	head
storage_capacity	64GB	64 ГБ	64Gb	64gb;64 гб;64 гб	192	head
storage_capacity	128GB	128 ГБ	128Gb	128gb;128 гб;128 гб	184	head
storage_capacity	256GB	256 ГБ	256Gb	256gb;256 гб;256 гб	168	head
storage_capacity	512GB	512 ГБ	512Gb	512gb;512 гб;512 гб	136	head
storage_capacity	1TB	1 ТБ	1Tb	1024gb;1024 гб;1 тб	72	head
storage_capacity	2TB	2 ТБ	2Tb	2048gb;2048 гб;2 тб	1	head
storage_capacity	4TB	4 ТБ	4Tb	4096gb;4096 гб;4 тб	1	head
storage_capacity	8TB	8 ТБ	8Tb	8192gb;8192 гб;8 тб	1	head
storage_capacity	12TB	12 ТБ	12Tb	12288gb;12288 гб;12 тб	1	head
storage_capacity	16TB	16 ТБ	16Tb	16384gb;16384 гб;16 тб	1	head
ram_capacity	1GB	1 ГБ	1Gb	1gb ram;1 гб озу;озу 1;оперативка 1	179	head
ram_capacity	2GB	2 ГБ	2Gb	2gb ram;2 гб озу;озу 2;оперативка 2	178	head
ram_capacity	3GB	3 ГБ	3Gb	3gb ram;3 гб озу;озу 3;оперативка 3	177	head
ram_capacity	4GB	4 ГБ	4Gb	4gb ram;4 гб озу;озу 4;оперативка 4	176	head
ram_capacity	6GB	6 ГБ	6Gb	6gb ram;6 гб озу;озу 6;оперативка 6	174	head
ram_capacity	8GB	8 ГБ	8Gb	8gb ram;8 гб озу;озу 8;оперативка 8	172	head
ram_capacity	12GB	12 ГБ	12Gb	12gb ram;12 гб озу;озу 12;оперативка 12	168	head
ram_capacity	16GB	16 ГБ	16Gb	16gb ram;16 гб озу;озу 16;оперативка 16	164	head
ram_capacity	24GB	24 ГБ	24Gb	24gb ram;24 гб озу;озу 24;оперативка 24	156	head
ram_capacity	32GB	32 ГБ	32Gb	32gb ram;32 гб озу;озу 32;оперативка 32	148	head
ram_capacity	48GB	48 ГБ	48Gb	48gb ram;48 гб озу;озу 48;оперативка 48	132	head
ram_capacity	64GB	64 ГБ	64Gb	64gb ram;64 гб озу;озу 64;оперативка 64	116	head
ram_capacity	96GB	96 ГБ	96Gb	96gb ram;96 гб озу;озу 96;оперативка 96	84	head
ram_capacity	128GB	128 ГБ	128Gb	128gb ram;128 гб озу;озу 128;оперативка 128	52	head
ram_capacity	192GB	192 ГБ	192Gb	192gb ram;192 гб озу;озу 192;оперативка 192	1	head
ram_capacity	256GB	256 ГБ	256Gb	256gb ram;256 гб озу;озу 256;оперативка 256	1	head
ram_capacity	512GB	512 ГБ	512Gb	512gb ram;512 гб озу;озу 512;оперативка 512	1	head
screen_size	IN_1_2	"1.2"""	In 1 2	"1.2 дюйм;1.2"";экран 1.2"	100	head
screen_size	IN_1_4	"1.4"""	In 1 4	"1.4 дюйм;1.4"";экран 1.4"	100	head
screen_size	IN_1_6	"1.6"""	In 1 6	"1.6 дюйм;1.6"";экран 1.6"	100	head
screen_size	IN_5_4	"5.4"""	In 5 4	"5.4 дюйм;5.4"";экран 5.4"	100	head
screen_size	IN_5_8	"5.8"""	In 5 8	"5.8 дюйм;5.8"";экран 5.8"	100	head
screen_size	IN_6_1	"6.1"""	In 6 1	"6.1 дюйм;6.1"";экран 6.1"	100	head
screen_size	IN_6_3	"6.3"""	In 6 3	"6.3 дюйм;6.3"";экран 6.3"	100	head
screen_size	IN_6_5	"6.5"""	In 6 5	"6.5 дюйм;6.5"";экран 6.5"	100	head
screen_size	IN_6_7	"6.7"""	In 6 7	"6.7 дюйм;6.7"";экран 6.7"	100	head
screen_size	IN_6_9	"6.9"""	In 6 9	"6.9 дюйм;6.9"";экран 6.9"	100	head
screen_size	IN_7_9	"7.9"""	In 7 9	"7.9 дюйм;7.9"";экран 7.9"	100	head
screen_size	IN_8_3	"8.3"""	In 8 3	"8.3 дюйм;8.3"";экран 8.3"	100	head
screen_size	IN_10_2	"10.2"""	In 10 2	"10.2 дюйм;10.2"";экран 10.2"	100	head
screen_size	IN_10_9	"10.9"""	In 10 9	"10.9 дюйм;10.9"";экран 10.9"	100	head
screen_size	IN_11	"11"""	In 11	"11 дюйм;11"";экран 11"	100	head
screen_size	IN_12_9	"12.9"""	In 12 9	"12.9 дюйм;12.9"";экран 12.9"	100	head
