node_id	parent_id	title_ru	kind	canonical_code	rank	status
bn_appl_root		Бытовая техника	ROOT	APPL	10	active
bn_appl_major	bn_appl_root	Крупная техника	GROUP	APPL.MAJOR	20	active
bn_appl_kitchen	bn_appl_root	Кухонная техника	GROUP	APPL.SMALL	30	active
bn_appl_homecare	bn_appl_root	Уборка и уход за домом	GROUP	APPL.SMALL	40	active
bn_appl_climate	bn_appl_root	Климат	GROUP	APPL.CLIMATE	50	active
bn_appl_accessories	bn_appl_root	Аксессуары и расходники	GROUP	APPL	60	active
bn_appl_major_refrigerators	bn_appl_major	Холодильники	LEAF	APPL.MAJOR	100	active
bn_appl_major_freezers	bn_appl_major	Морозильники	LEAF	APPL.MAJOR	101	active
bn_appl_major_washers	bn_appl_major	Стиральные машины	LEAF	APPL.MAJOR	102	active
bn_appl_major_dryers	bn_appl_major	Сушильные машины	LEAF	APPL.MAJOR	103	active
bn_appl_major_dishwashers	bn_appl_major	Посудомоечные машины	LEAF	APPL.MAJOR	104	active
bn_appl_major_stoves	bn_appl_major	Плиты	LEAF	APPL.MAJOR	105	active
bn_appl_major_cooktops	bn_appl_major	Варочные панели	LEAF	APPL.MAJOR	106	active
bn_appl_major_ovens	bn_appl_major	Духовые шкафы	LEAF	APPL.MAJOR	107	active
bn_appl_major_hoods	bn_appl_major	Кухонные вытяжки	LEAF	APPL.MAJOR	108	active
bn_appl_major_builtin	bn_appl_major	Встраиваемая техника	LEAF	APPL.MAJOR	109	active
bn_appl_major_winecoolers	bn_appl_major	Винные шкафы	LEAF	APPL.MAJOR	110	active
bn_appl_kitchen_microwaves	bn_appl_kitchen	Микроволновые печи (СВЧ)	LEAF	APPL.SMALL	200	active
bn_appl_kitchen_coffee_machines	bn_appl_kitchen	Кофемашины	LEAF	APPL.SMALL	201	active
bn_appl_kitchen_coffee_makers	bn_appl_kitchen	Кофеварки	LEAF	APPL.SMALL	202	active
bn_appl_kitchen_kettles	bn_appl_kitchen	Электрочайники	LEAF	APPL.SMALL	203	active
bn_appl_kitchen_blenders	bn_appl_kitchen	Блендеры	LEAF	APPL.SMALL	204	active
bn_appl_kitchen_mixers	bn_appl_kitchen	Миксеры	LEAF	APPL.SMALL	205	active
bn_appl_kitchen_processors	bn_appl_kitchen	Кухонные комбайны	LEAF	APPL.SMALL	206	active
bn_appl_kitchen_meat_grinders	bn_appl_kitchen	Мясорубки	LEAF	APPL.SMALL	207	active
bn_appl_kitchen_juicers	bn_appl_kitchen	Соковыжималки	LEAF	APPL.SMALL	208	active
bn_appl_kitchen_multicookers	bn_appl_kitchen	Мультиварки и скороварки	LEAF	APPL.SMALL	209	active
bn_appl_kitchen_airfryers	bn_appl_kitchen	Аэрогрили и фритюрницы	LEAF	APPL.SMALL	210	active
bn_appl_kitchen_toasters	bn_appl_kitchen	Тостеры и сэндвичницы	LEAF	APPL.SMALL	211	active
bn_appl_kitchen_grills	bn_appl_kitchen	Электрогрили	LEAF	APPL.SMALL	212	active
bn_appl_kitchen_water_filters	bn_appl_kitchen	Фильтры и очистка воды (кухня)	LEAF	APPL.SMALL	213	active
bn_appl_homecare_vacuums	bn_appl_homecare	Пылесосы	LEAF	APPL.SMALL	300	active
bn_appl_homecare_robot_vacuums	bn_appl_homecare	Роботы-пылесосы	LEAF	APPL.SMALL	301	active
bn_appl_homecare_steam_cleaners	bn_appl_homecare	Пароочистители и паровые швабры	LEAF	APPL.SMALL	302	active
bn_appl_homecare_irons	bn_appl_homecare	Утюги	LEAF	APPL.SMALL	303	active
bn_appl_homecare_steamers	bn_appl_homecare	Отпариватели и парогенераторы	LEAF	APPL.SMALL	304	active
bn_appl_climate_air_conditioners	bn_appl_climate	Кондиционеры и сплит-системы	LEAF	APPL.CLIMATE	400	active
bn_appl_climate_portable_ac	bn_appl_climate	Мобильные кондиционеры	LEAF	APPL.CLIMATE	401	active
bn_appl_climate_heaters	bn_appl_climate	Обогреватели	LEAF	APPL.CLIMATE	402	active
bn_appl_climate_convectors	bn_appl_climate	Конвекторы	LEAF	APPL.CLIMATE	403	active
bn_appl_climate_fans	bn_appl_climate	Вентиляторы	LEAF	APPL.CLIMATE	404	active
bn_appl_climate_humidifiers	bn_appl_climate	Увлажнители воздуха	LEAF	APPL.CLIMATE	405	active
bn_appl_climate_purifiers	bn_appl_climate	Очистители воздуха	LEAF	APPL.CLIMATE	406	active
bn_appl_climate_dehumidifiers	bn_appl_climate	Осушители воздуха	LEAF	APPL.CLIMATE	407	active
bn_appl_climate_complexes	bn_appl_climate	Климатические комплексы и мойки воздуха	LEAF	APPL.CLIMATE	408	active
bn_appl_acc_parts	bn_appl_accessories	Запчасти для бытовой техники	LEAF	APPL	500	active
bn_appl_acc_accessories	bn_appl_accessories	Аксессуары (шланги, насадки, крепеж)	LEAF	APPL	501	active
bn_appl_acc_consumables	bn_appl_accessories	Расходники (мешки, фильтры, картриджи)	LEAF	APPL	502	active
