query	expected_type	expected_id	notes
холодильник	NODE	bn_appl_major_refrigerators	auto
купить холодильник	NODE	bn_appl_major_refrigerators	auto
холодильник купить	NODE	bn_appl_major_refrigerators	auto
холодильник цена	NODE	bn_appl_major_refrigerators	auto
холодильник недорого	NODE	bn_appl_major_refrigerators	auto
купить холодильники	NODE	bn_appl_major_refrigerators	variant
морозилка	NODE	bn_appl_major_freezers	auto
купить морозилка	NODE	bn_appl_major_freezers	auto
морозилка купить	NODE	bn_appl_major_freezers	auto
морозилка цена	NODE	bn_appl_major_freezers	auto
морозилка недорого	NODE	bn_appl_major_freezers	auto
купить морозильник	NODE	bn_appl_major_freezers	variant
стиралка	NODE	bn_appl_major_washers	auto
купить стиралка	NODE	bn_appl_major_washers	auto
стиралка купить	NODE	bn_appl_major_washers	auto
стиралка цена	NODE	bn_appl_major_washers	auto
стиралка недорого	NODE	bn_appl_major_washers	auto
купить стир машина	NODE	bn_appl_major_washers	variant
сушильная машина	NODE	bn_appl_major_dryers	auto
купить сушильная машина	NODE	bn_appl_major_dryers	auto
сушильная машина купить	NODE	bn_appl_major_dryers	auto
сушильная машина цена	NODE	bn_appl_major_dryers	auto
сушильная машина недорого	NODE	bn_appl_major_dryers	auto
купить сушильные машины	NODE	bn_appl_major_dryers	variant
посудомойка	NODE	bn_appl_major_dishwashers	auto
купить посудомойка	NODE	bn_appl_major_dishwashers	auto
посудомойка купить	NODE	bn_appl_major_dishwashers	auto
посудомойка цена	NODE	bn_appl_major_dishwashers	auto
посудомойка недорого	NODE	bn_appl_major_dishwashers	auto
купить посудомоечная машина	NODE	bn_appl_major_dishwashers	variant
плита	NODE	bn_appl_major_stoves	auto
купить плита	NODE	bn_appl_major_stoves	auto
плита купить	NODE	bn_appl_major_stoves	auto
плита цена	NODE	bn_appl_major_stoves	auto
плита недорого	NODE	bn_appl_major_stoves	auto
купить электроплита	NODE	bn_appl_major_stoves	variant
варочная панель	NODE	bn_appl_major_cooktops	auto
купить варочная панель	NODE	bn_appl_major_cooktops	auto
варочная панель купить	NODE	bn_appl_major_cooktops	auto
варочная панель цена	NODE	bn_appl_major_cooktops	auto
варочная панель недорого	NODE	bn_appl_major_cooktops	auto
купить индукционная панель	NODE	bn_appl_major_cooktops	variant
