browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.AUTO		Авто и транспорт	avto-i-transport	1	AUTO	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""car""}}"
BN.AUTO.PARTS	BN.AUTO	Запчасти	zapchasti	2	AUTO.PARTS	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""cog""}}"
BN.AUTO.TIRES	BN.AUTO	Шины и диски	shiny-i-diski	2	AUTO.TIRES_WHEELS	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""wheel""}}"
BN.AUTO.ACCESS	BN.AUTO	Аксессуары	aksessuary	2	AUTO.ACCESSORIES	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""tag""}}"
BN.AUTO.TOOLS	BN.AUTO	Гараж и инструменты	garazh-i-instrumenty	2	AUTO.TOOLS_GARAGE	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""wrench""}}"
BN.AUTO.PARTS.01	BN.AUTO.PARTS	Двигатель и навесное	dvigatel-i-navesnoe	3	AUTO.PARTS	10	active	"{""presetFilters"": {""type"": ""engine""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.02	BN.AUTO.PARTS	Тормоза	tormoza	3	AUTO.PARTS	20	active	"{""presetFilters"": {""type"": ""brakes""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.03	BN.AUTO.PARTS	Подвеска и рулевое	podveska-i-rulevoe	3	AUTO.PARTS	30	active	"{""presetFilters"": {""type"": ""suspension_steering""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.04	BN.AUTO.PARTS	Фильтры	filtry	3	AUTO.PARTS	40	active	"{""presetFilters"": {""type"": ""filters""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.05	BN.AUTO.PARTS	Аккумуляторы	akkumulyatory	3	AUTO.PARTS	50	active	"{""presetFilters"": {""type"": ""battery""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.06	BN.AUTO.PARTS	Масла и жидкости	masla-i-zhidkosti	3	AUTO.PARTS	60	active	"{""presetFilters"": {""type"": ""fluids""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.PARTS.07	BN.AUTO.PARTS	Свет и электрика	svet-i-elektrika	3	AUTO.PARTS	70	active	"{""presetFilters"": {""type"": ""electrics_lights""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.01	BN.AUTO.TIRES	Летние шины	letnie-shiny	3	AUTO.TIRES_WHEELS	10	active	"{""presetFilters"": {""season"": ""summer""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.02	BN.AUTO.TIRES	Зимние шины	zimnie-shiny	3	AUTO.TIRES_WHEELS	20	active	"{""presetFilters"": {""season"": ""winter""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.03	BN.AUTO.TIRES	Всесезонные шины	vsesezonnye-shiny	3	AUTO.TIRES_WHEELS	30	active	"{""presetFilters"": {""season"": ""allseason""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.04	BN.AUTO.TIRES	Диски	diski	3	AUTO.TIRES_WHEELS	40	active	"{""presetFilters"": {""type"": ""rims""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.05	BN.AUTO.TIRES	Колёса в сборе	kolesa-v-sbore	3	AUTO.TIRES_WHEELS	50	active	"{""presetFilters"": {""type"": ""wheels_set""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TIRES.06	BN.AUTO.TIRES	Шиномонтаж и ремонт	shinomontazh-i-remont	3	AUTO.TIRES_WHEELS	60	active	"{""presetFilters"": {""type"": ""service""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.01	BN.AUTO.ACCESS	Коврики и чехлы	kovriki-i-chehly	3	AUTO.ACCESSORIES	10	active	"{""presetFilters"": {""type"": ""interior_textile""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.02	BN.AUTO.ACCESS	Электроника (регистраторы, радары)	elektronika-registratory-radary	3	AUTO.ACCESSORIES	20	active	"{""presetFilters"": {""type"": ""electronics""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.03	BN.AUTO.ACCESS	Держатели и зарядки	derzhateli-i-zaryadki	3	AUTO.ACCESSORIES	30	active	"{""presetFilters"": {""type"": ""mounts_chargers""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.04	BN.AUTO.ACCESS	Багажники, фаркопы	bagazhniki-farkopy	3	AUTO.ACCESSORIES	40	active	"{""presetFilters"": {""type"": ""roof_rack_tow""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.05	BN.AUTO.ACCESS	Уход за авто	uhod-za-avto	3	AUTO.ACCESSORIES	50	active	"{""presetFilters"": {""type"": ""car_care""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.ACCESS.06	BN.AUTO.ACCESS	Детские автокресла	detskie-avtokresla	3	AUTO.ACCESSORIES	60	active	"{""presetFilters"": {""type"": ""child_seats""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.01	BN.AUTO.TOOLS	Домкраты и подъёмники	domkraty-i-podemniki	3	AUTO.TOOLS_GARAGE	10	active	"{""presetFilters"": {""type"": ""jacks_lifts""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.02	BN.AUTO.TOOLS	Компрессоры и насосы	kompressory-i-nasosy	3	AUTO.TOOLS_GARAGE	20	active	"{""presetFilters"": {""type"": ""compressors_pumps""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.03	BN.AUTO.TOOLS	Наборы инструментов	nabory-instrumentov	3	AUTO.TOOLS_GARAGE	30	active	"{""presetFilters"": {""type"": ""tool_sets""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.04	BN.AUTO.TOOLS	Диагностика (OBD)	diagnostika-obd	3	AUTO.TOOLS_GARAGE	40	active	"{""presetFilters"": {""type"": ""diagnostics""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.05	BN.AUTO.TOOLS	Гаражное хранение	garazhnoe-hranenie	3	AUTO.TOOLS_GARAGE	50	active	"{""presetFilters"": {""type"": ""garage_storage""}, ""ui"": {""visibility"": ""secondary""}}"
BN.AUTO.TOOLS.06	BN.AUTO.TOOLS	Мойки и пылесосы	moyki-i-pylesosy	3	AUTO.TOOLS_GARAGE	60	active	"{""presetFilters"": {""type"": ""wash_vacuum""}, ""ui"": {""visibility"": ""secondary""}}"
