browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.FASH		Одежда и обувь	odezhda-i-obuv	1	FASH	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""tshirt""}}"
BN.FASH.WOMEN	BN.FASH	Женщинам	zhenschinam	2	FASH.WOMEN	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""female""}}"
BN.FASH.MEN	BN.FASH	Мужчинам	muzhchinam	2	FASH.MEN	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""male""}}"
BN.FASH.KIDS	BN.FASH	Детям (одежда)	detyam-odezhda	2	FASH.KIDS	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""baby""}}"
BN.FASH.SHOES	BN.FASH	Обувь	obuv	2	FASH.SHOES	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""shoe""}}"
BN.FASH.BAGS	BN.FASH	Сумки и рюкзаки	sumki-i-ryukzaki	2	FASH.BAGS	50	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""bag""}}"
BN.FASH.ACCESSORIES	BN.FASH	Аксессуары	aksessuary	2	FASH.ACCESSORIES	60	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""watch""}}"
BN.FASH.WOMEN.01	BN.FASH.WOMEN	Верхняя одежда	verhnyaya-odezhda	3	FASH.WOMEN	10	active	"{""presetFilters"": {""type"": ""outerwear"", ""gender"": ""women""}, ""ui"": {""visibility"": ""secondary""}}"
BN.FASH.WOMEN.02	BN.FASH.WOMEN	Платья и сарафаны	platya-i-sarafany	3	FASH.WOMEN	20	active	"{""presetFilters"": {""type"": ""dresses"", ""gender"": ""women""}, ""ui"": {""visibility"": ""secondary""}}"
BN.FASH.WOMEN.03	BN.FASH.WOMEN	Топы, блузы, футболки	topy-bluzy-futbolki	3	FASH.WOMEN	30	active	"{""presetFilters"": {""type"": ""tops"", ""gender"": ""women""}, ""ui"": {""visibility"": ""secondary""}}"
