alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.HOME.0001	дом и ремонт	ru-RU	дом и ремонт	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0002	товары для дома	ru-RU	товары для дома	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0003	для дома	ru-RU	для дома	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0004	домашние товары	ru-RU	домашние товары	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0005	хозяйственные товары	ru-RU	хозяйственные товары	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0006	домашний магазин	ru-RU	домашний магазин	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0007	ремонт дома	ru-RU	ремонт дома	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0008	всё для дома	ru-RU	все для дома	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0009	дом интерьер	ru-RU	дом интерьер	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0010	дом и быт	ru-RU	дом и быт	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0011	дом и уют	ru-RU	дом и уют	browse_node	BN.HOME	45	contains		active	L0 entrypoint
AL.HOME.0012	ремонт	ru-RU	ремонт	browse_node	BN.HOME.REPAIR_TOOLS	55	contains		active	repair intent
AL.HOME.0013	инструменты	ru-RU	инструменты	browse_node	BN.HOME.REPAIR_TOOLS	55	contains		active	repair intent
AL.HOME.0014	стройматериалы	ru-RU	стройматериалы	browse_node	BN.HOME.REPAIR_TOOLS	55	contains		active	repair intent
AL.HOME.0015	строительные материалы	ru-RU	строительные материалы	browse_node	BN.HOME.REPAIR_TOOLS	55	contains		active	repair intent
AL.HOME.0016	электроинструмент	ru-RU	электроинструмент	browse_node	BN.HOME.REPAIR_TOOLS	55	contains		active	repair intent
