alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.KIDS.0001	детские товары	ru-RU	детские товары	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0002	товары для детей	ru-RU	товары для детей	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0003	для детей	ru-RU	для детей	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0004	kids	ru-RU	kids	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0005	детский магазин	ru-RU	детский магазин	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0006	детские товары рядом	ru-RU	детские товары рядом	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0007	детские товары б/у	ru-RU	детские товары б/у	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0008	всё для малыша	ru-RU	все для малыша	browse_node	BN.KIDS	40	contains		active	L0 entry
AL.KIDS.0009	подгузники	ru-RU	подгузники	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0010	памперсы	ru-RU	памперсы	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0011	пелёнки	ru-RU	пеленки	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0012	пеленки	ru-RU	пеленки	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0013	влажные салфетки	ru-RU	влажные салфетки	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0014	салфетки для детей	ru-RU	салфетки для детей	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0015	детский крем	ru-RU	детский крем	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0016	присыпка	ru-RU	присыпка	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0017	бутылочка	ru-RU	бутылочка	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0018	бутылочка для кормления	ru-RU	бутылочка для кормления	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0019	соска	ru-RU	соска	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0020	пустышка	ru-RU	пустышка	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0021	молокоотсос	ru-RU	молокоотсос	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0022	смесь детская	ru-RU	смесь детская	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
AL.KIDS.0023	пюре детское	ru-RU	пюре детское	browse_node	BN.KIDS.BABY_GEAR	72	contains		active	baby gear
