alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.PETS.0001	товары для животных	ru-RU	товары для животных	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0002	зоотовары	ru-RU	зоотовары	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0003	зоомагазин	ru-RU	зоомагазин	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0004	питомцы	ru-RU	питомцы	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0005	для питомцев	ru-RU	для питомцев	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0006	для животных	ru-RU	для животных	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0007	зоотовары рядом	ru-RU	зоотовары рядом	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0008	зоотовары б/у	ru-RU	зоотовары б/у	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0009	pet shop	ru-RU	pet shop	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0010	pets	ru-RU	pets	browse_node	BN.PETS	40	contains		active	L0 entry
AL.PETS.0011	корм	ru-RU	корм	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0012	корм для кошек	ru-RU	корм для кошек	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0013	корм для собак	ru-RU	корм для собак	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0014	корм для щенков	ru-RU	корм для щенков	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0015	корм для котят	ru-RU	корм для котят	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0016	сухой корм	ru-RU	сухой корм	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0017	влажный корм	ru-RU	влажный корм	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0018	консервы для кошек	ru-RU	консервы для кошек	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0019	лакомства для собак	ru-RU	лакомства для собак	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0020	лакомства для кошек	ru-RU	лакомства для кошек	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0021	паштет для кошек	ru-RU	паштет для кошек	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0022	пауч для кошек	ru-RU	пауч для кошек	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0023	косточки для собак	ru-RU	косточки для собак	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0024	снеки для собак	ru-RU	снеки для собак	browse_node	BN.PETS.FOOD	78	contains		active	pets food
AL.PETS.0025	корм для рыб	ru-RU	корм для рыб	browse_node	BN.PETS.FOOD	78	contains		active	pets food
