browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.PETS		Питомцы	pitomtsy	1	PETS	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""paw""}}"
BN.PETS.FOOD	BN.PETS	Корм и лакомства	korm-i-lakomstva	2	PETS.FOOD	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""bowl""}}"
BN.PETS.HYGIENE	BN.PETS	Гигиена и туалет	gigiena-i-tualet	2	PETS.HYGIENE	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""droplet""}}"
BN.PETS.ACCESSORIES	BN.PETS	Аксессуары и уход	aksessuary-i-uhod	2	PETS.ACCESSORIES	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""tag""}}"
BN.PETS.HEALTH	BN.PETS	Здоровье и вет-товары	zdorove-i-vet-tovary	2	PETS.HEALTH	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""heart""}}"
BN.PETS.FOOD.01	BN.PETS.FOOD	Корм для кошек	korm-dlya-koshek	3	PETS.FOOD	10	active	"{""presetFilters"": {""pet"": ""cat"", ""type"": ""food""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.FOOD.02	BN.PETS.FOOD	Корм для собак	korm-dlya-sobak	3	PETS.FOOD	20	active	"{""presetFilters"": {""pet"": ""dog"", ""type"": ""food""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.FOOD.03	BN.PETS.FOOD	Сухой корм	suhoy-korm	3	PETS.FOOD	30	active	"{""presetFilters"": {""type"": ""dry""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.FOOD.04	BN.PETS.FOOD	Влажный корм	vlazhnyy-korm	3	PETS.FOOD	40	active	"{""presetFilters"": {""type"": ""wet""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.FOOD.05	BN.PETS.FOOD	Лакомства	lakomstva	3	PETS.FOOD	50	active	"{""presetFilters"": {""type"": ""treats""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.FOOD.06	BN.PETS.FOOD	Для рыб/птиц/грызунов	dlya-ryb-ptits-gryzunov	3	PETS.FOOD	60	active	"{""presetFilters"": {""pet"": ""other"", ""type"": ""food""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.HYGIENE.01	BN.PETS.HYGIENE	Наполнители и песок	napolniteli-i-pesok	3	PETS.HYGIENE	10	active	"{""presetFilters"": {""type"": ""litter""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.HYGIENE.02	BN.PETS.HYGIENE	Лотки и туалеты	lotki-i-tualety	3	PETS.HYGIENE	20	active	"{""presetFilters"": {""type"": ""toilets""}, ""ui"": {""visibility"": ""secondary""}}"
BN.PETS.HYGIENE.03	BN.PETS.HYGIENE	Пелёнки и подстилки	pelenki-i-podstilki	3	PETS.HYGIENE	30	active	"{""presetFilters"": {""type"": ""pads""}, ""ui"": {""visibility"": ""secondary""}}"
