alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.SPORT.0001	спорт	ru-RU	спорт	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0002	спорттовары	ru-RU	спорттовары	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0003	магазин спорттоваров	ru-RU	магазин спорттоваров	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0004	товары для спорта	ru-RU	товары для спорта	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0005	активный отдых	ru-RU	активный отдых	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0006	спорт рядом	ru-RU	спорт рядом	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0007	тренировки дома	ru-RU	тренировки дома	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0008	инвентарь для спорта	ru-RU	инвентарь для спорта	browse_node	BN.SPORT	40	contains		active	L0 entry
AL.SPORT.0009	гантели	ru-RU	гантели	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0010	гири	ru-RU	гири	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0011	штанга	ru-RU	штанга	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0012	диски для штанги	ru-RU	диски для штанги	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0013	скакалка	ru-RU	скакалка	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0014	коврик для йоги	ru-RU	коврик для йоги	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0015	йога мат	ru-RU	йога мат	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0016	эспандер	ru-RU	эспандер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0017	резинки для фитнеса	ru-RU	резинки для фитнеса	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0018	турник	ru-RU	турник	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0019	брусья	ru-RU	брусья	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0020	гимнастическое колесо	ru-RU	гимнастическое колесо	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0021	ролик для пресса	ru-RU	ролик для пресса	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0022	фитбол	ru-RU	фитбол	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0023	мяч для фитнеса	ru-RU	мяч для фитнеса	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0024	петли trx	ru-RU	петли trx	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0025	тренажер	ru-RU	тренажер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0026	велотренажер	ru-RU	велотренажер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0027	беговая дорожка	ru-RU	беговая дорожка	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0028	эллипсоид	ru-RU	эллипсоид	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0029	гребной тренажер	ru-RU	гребной тренажер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0030	спортивное питание	ru-RU	спортивное питание	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0031	протеин	ru-RU	протеин	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0032	креатин	ru-RU	креатин	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0033	гейнер	ru-RU	гейнер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0034	bcaa	ru-RU	bcaa	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0035	изотоник	ru-RU	изотоник	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0036	шейкер	ru-RU	шейкер	browse_node	BN.SPORT.FITNESS	72	contains		active	fitness
AL.SPORT.0037	велосипед	ru-RU	велосипед	browse_node	BN.SPORT.BIKES	76	contains		active	bikes/scooters
AL.SPORT.0038	велосипеды	ru-RU	велосипеды	browse_node	BN.SPORT.BIKES	76	contains		active	bikes/scooters
AL.SPORT.0039	горный велосипед	ru-RU	горный велосипед	browse_node	BN.SPORT.BIKES	76	contains		active	bikes/scooters
AL.SPORT.0040	mtb велосипед	ru-RU	mtb велосипед	browse_node	BN.SPORT.BIKES	76	contains		active	bikes/scooters
