query_id	locale	query_text	expected_target_kind	expected_code	must_rank_top_n	notes
TECH-0001	ru-RU	смартфон	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0002	ru-RU	купить смартфон	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0003	ru-RU	смартфон бу	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0004	en-US	iphone	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0005	ru-RU	айфон 14	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0006	en-US	iphone 15 pro	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0007	ru-RU	android телефон	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0008	ru-RU	телефон samsung galaxy	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0009	ru-RU	xiaomi redmi смартфон	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0010	en-US	pixel phone	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0011	en-US	huawei p60	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0012	en-US	oneplus 12	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0013	ru-RU	смартфон 256 гб	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0014	ru-RU	телефон с хорошей камерой	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0015	ru-RU	смарт фон	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0016	en-US	smartphone	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0017	en-US	mobile phone	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0018	en-US	samsung s24	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0019	en-US	xiaomi 13t	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0020	ru-RU	iphone б/у	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0021	ru-RU	телефон android бу	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0022	ru-RU	смартфоны распродажа	CATEGORY_LEAF	TECH.PHONES	1	
TECH-0023	ru-RU	чехол	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0024	ru-RU	чехол для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0025	ru-RU	чехол на айфон 13	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0026	ru-RU	защитное стекло	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0027	ru-RU	стекло на телефон	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0028	ru-RU	пленка на экран	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0029	ru-RU	зарядка	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0030	ru-RU	быстрая зарядка type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0031	ru-RU	кабель type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0032	ru-RU	кабель lightning	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0033	en-US	power bank	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0034	ru-RU	пауэрбанк 20000	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0035	ru-RU	держатель для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0036	ru-RU	попсокет	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0037	ru-RU	адаптер usb c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0038	ru-RU	переходник для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0039	ru-RU	набор аксессуаров для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0040	en-US	phone case	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0041	en-US	screen protector	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0042	en-US	charger type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0043	ru-RU	держатель в машину телефон	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0044	ru-RU	чехол samsung	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	1	
TECH-0045	ru-RU	ноутбук	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0046	ru-RU	купить ноутбук	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0047	ru-RU	ноутбук для учебы	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0048	ru-RU	ноутбук для работы	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0049	ru-RU	игровой ноутбук	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0050	ru-RU	ультрабук	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0051	en-US	macbook	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0052	en-US	macbook air m2	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0053	en-US	macbook pro 14	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0054	en-US	lenovo thinkpad	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0055	en-US	dell xps	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0056	en-US	asus vivobook	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0057	ru-RU	ноутбук 16гб	CATEGORY_LEAF	TECH.LAPTOPS	1	
TECH-0058	ru-RU	ноутбук бу	CATEGORY_LEAF	TECH.LAPTOPS	1	
